seq,t_us,rr_ms,hr_bpm,score,flags
1919,15906625,816.0,0.0,0.692,185
1936,16042625,136.0,0.0,0.573,173
2058,17018620,975.0,0.0,0.551,169
2156,17802625,784.0,0.0,0.501,169
2262,18650625,848.0,0.0,0.238,185
2367,19490623,839.0,0.0,0.72,169
2482,20410625,920.0,0.0,0.534,169
2593,21298620,887.0,0.0,0.595,185
2605,21394624,96.0,0.0,0.518,189
2709,22226623,831.0,0.0,0.656,169
2824,23146625,920.0,0.0,0.505,169
2911,23842625,696.0,0.0,0.609,169
3018,24698625,856.0,0.0,0.217,185
3136,25642622,943.0,0.0,0.638,169
3246,26522621,879.0,0.0,0.433,185
3354,27386623,864.0,0.0,0.211,185
3485,28434625,1048.0,0.0,0.657,169
3580,29194625,760.0,0.0,0.683,169
3680,29994623,799.0,0.0,0.685,169
3798,30938625,768.0,0.0,0.658,169
3894,31706625,768.0,0.0,0.572,169
3983,32418620,711.0,0.0,0.493,185
4071,33122623,704.0,0.0,0.55,169
4159,33826622,703.0,0.0,0.733,169
4255,34594625,768.0,0.0,0.583,169
4349,35346620,751.0,0.0,0.587,169
4429,35986624,640.0,0.0,0.667,169
4530,36794625,808.0,0.0,0.217,185
4624,37546624,751.0,0.0,0.64,169
4727,38370624,824.0,0.0,0.615,169
4831,39202624,832.0,0.0,0.615,169
4921,39922625,720.0,0.0,0.538,169
5004,40586625,664.0,0.0,0.617,169
5102,41370625,784.0,0.0,0.57,169
5183,42018625,648.0,0.0,0.657,169
5207,42210623,191.0,0.0,0.48,189
5370,43514625,1304.0,0.0,0.223,185
5475,44354625,840.0,0.0,0.662,169
5570,45114622,759.0,0.0,0.698,169
5644,45706625,592.0,0.0,0.717,169
5758,46618625,912.0,0.0,0.511,169
5850,47354625,736.0,0.0,0.636,169
5943,48098620,743.0,0.0,0.638,169
5961,48242625,144.0,0.0,0.451,189
6055,48994625,752.0,0.0,0.584,169
6145,49714625,720.0,0.0,0.539,169
6249,50546625,832.0,0.0,0.634,169
6354,51386625,840.0,0.0,0.503,169
6429,51986625,600.0,0.0,0.577,169
6501,52562623,575.0,0.0,0.685,169
6609,53426625,864.0,0.0,0.65,169
6691,54082625,656.0,0.0,0.694,169
6781,54802625,720.0,0.0,0.651,169
6805,54994621,191.0,0.0,0.511,189
6893,55698625,704.0,0.0,0.578,169
6979,56386624,687.0,0.0,0.687,169
7075,57154624,768.0,0.0,0.701,169
7174,57946625,792.0,0.0,0.546,169
7276,58762625,816.0,0.0,0.531,169
7359,59426625,664.0,0.0,0.648,169
7446,60122625,696.0,0.0,0.624,169
7537,60850623,727.0,0.0,0.63,169
7638,61658624,808.0,0.0,0.252,185
7736,62442623,783.0,0.0,0.631,169
7822,63130621,687.0,0.0,0.624,169
7926,63962621,832.0,0.0,0.598,169
8011,64642623,680.0,0.0,0.652,169
8101,65362622,719.0,0.0,0.655,169
8192,66090625,728.0,0.0,0.562,169
8287,66850625,760.0,0.0,0.549,169
8353,67378625,528.0,0.0,0.721,169
8446,68122625,744.0,0.0,0.701,169
8549,68946625,824.0,0.0,0.571,169
8630,69594625,648.0,0.0,0.609,169
8724,70346625,752.0,0.0,0.57,185
8809,71026625,680.0,0.0,0.628,185
8898,71738625,712.0,0.0,0.242,185
8997,72530625,792.0,0.0,0.647,169
9097,73330625,800.0,0.0,0.671,169
9166,73882625,552.0,0.0,0.698,169
9288,74858625,976.0,0.0,0.422,185
9375,75554626,696.0,0.0,0.578,169
9463,76258625,703.0,0.0,0.579,169
9538,76858625,600.0,0.0,0.652,169
9640,77674625,816.0,0.0,0.588,169
9725,78354623,679.0,0.0,0.656,169
9814,79066623,712.0,0.0,0.635,185
9825,79154625,88.0,0.0,0.448,189
9916,79882621,727.0,0.0,0.519,169
10003,80578625,696.0,0.0,0.56,169
10090,81274623,695.0,0.0,0.579,169
