t_us,sample_drop_count,beat_drop_count,metric_drop_count,sample_queue_depth,sample_queue_high_water
15579232,0,0,0,0,3
20579232,0,0,0,0,3
25579232,0,0,0,0,3
30579232,0,0,0,0,3
35579232,0,0,0,0,3
40579232,0,0,0,0,3
45579232,0,0,0,0,3
50579232,0,0,0,0,3
55580617,0,0,0,0,3
60580624,0,0,0,0,3
65580625,0,0,0,0,3
70580625,0,0,0,0,3
75580632,0,0,0,0,3
80580641,0,0,0,0,3
85580642,0,0,0,0,3
90580646,0,0,0,0,3
95581250,0,0,0,0,3
100582236,0,0,0,0,3
105582239,0,0,0,0,3
110583236,0,0,0,0,3
115583236,0,0,0,0,3
120583239,0,0,0,0,3
125583239,0,0,0,0,3
130583239,0,0,0,0,3
135584236,0,0,0,0,3
140584236,0,0,0,0,3
145584239,0,0,0,0,3
150585238,0,0,0,0,3
155586236,0,0,0,0,3
160586240,0,0,0,0,3
165587232,0,0,0,0,3
170587232,0,0,0,0,3
175587232,0,0,0,0,3
180587232,0,0,0,0,3
185587232,0,0,0,0,3
190587335,0,0,0,0,3
195588624,0,0,0,0,3
200588627,0,0,0,0,3
205588627,0,0,0,0,3
210588639,0,0,0,0,3
215588641,0,0,0,0,3
220588929,0,0,0,0,3
225589241,0,0,0,0,3
230590239,0,0,0,0,3
235590241,0,0,0,0,3
240591237,0,0,0,0,3
245591237,0,0,0,0,3
250592236,0,0,0,0,3
255592236,0,0,0,0,3
260592236,0,0,0,0,3
265592236,0,0,0,0,3
270592236,0,0,0,0,3
275592236,0,0,0,0,3
280592238,0,0,0,0,3
285592248,0,0,0,0,3
290593241,0,0,0,0,3
295594238,0,0,0,0,3
300595232,0,0,0,0,3
305595232,0,0,0,0,3
310595233,0,0,0,0,3
315596624,0,0,0,0,3
320596928,0,0,0,0,3
325597241,0,0,0,0,3
330598236,0,0,0,0,3
335598239,0,0,0,0,3
340598240,0,0,0,0,3
345599237,0,0,0,0,3
350599238,0,0,0,0,3
355599239,0,0,0,0,3
360600239,0,0,0,0,3
365601236,0,0,0,0,3
370601240,0,0,0,0,3
375602236,0,0,0,0,3
380602236,0,0,0,0,3
385602239,0,0,0,0,3
390603232,0,0,0,0,3
395603232,0,0,0,0,3
400603232,0,0,0,0,3
405603232,0,0,0,0,3
410603232,0,0,0,0,3
415603232,0,0,0,0,3
420603233,0,0,0,0,3
425604626,0,0,0,0,3
430604638,0,0,0,0,3
435604638,0,0,0,0,3
440604639,0,0,0,0,3
445605239,0,0,0,0,3
450605241,0,0,0,0,3
455605241,0,0,0,0,3
460606241,0,0,0,0,3
465607241,0,0,0,0,3
470608239,0,0,0,0,3
475609236,0,0,0,0,3
480609236,0,0,0,0,3
485609239,0,0,0,0,3
490610236,0,0,0,0,3
495610236,0,0,0,0,3
500610238,0,0,0,0,3
505611232,0,0,0,0,3
510611232,0,0,0,0,3
515611232,0,0,0,0,3
520611232,0,0,0,0,3
525611233,0,0,0,0,3
530612627,0,0,0,0,3
535612630,0,0,0,0,3
540612640,0,0,0,0,3
545613238,0,0,0,0,3
550613241,0,0,0,0,3
555613242,0,0,0,0,3
560614240,0,0,0,0,3
565615239,0,0,0,0,3
570616237,0,0,0,0,3
575617236,0,0,0,0,3
580617240,0,0,0,0,3
585618239,0,0,0,0,3
590619232,0,0,0,0,3
595619232,0,0,0,0,3
600619232,0,0,0,0,3
605619232,0,0,0,0,3
610619232,0,0,0,0,3
615620627,0,0,0,0,3
620620639,0,0,0,0,3
625620641,0,0,0,0,3
630621239,0,0,0,0,3
635621241,0,0,0,0,3
640622236,0,0,0,0,3
645622238,0,0,0,0,3
650622240,0,0,0,0,3
655623236,0,0,0,0,3
660623238,0,0,0,0,3
665624237,0,0,0,0,3
670624240,0,0,0,0,3
675625236,0,0,0,0,3
680625236,0,0,0,0,3
685625236,0,0,0,0,3
690625236,0,0,0,0,3
695625239,0,0,0,0,3
700625240,0,0,0,0,3
705626381,0,0,0,0,3
710627232,0,0,0,0,3
715627232,0,0,0,0,3
720627232,0,0,0,0,3
725627232,0,0,0,0,3
730627232,0,0,0,0,3
735627232,0,0,0,0,3
740627582,0,0,0,0,3
745628651,0,0,0,0,3
750628656,0,0,0,0,3
755628668,0,0,0,0,3
760629236,0,0,0,0,3
765629239,0,0,0,0,3
770629239,0,0,0,0,3
775630236,0,0,0,0,3
780630238,0,0,0,0,3
785631236,0,0,0,0,3
790631238,0,0,0,0,3
795632236,0,0,0,0,3
800632237,0,0,0,0,3
805632238,0,0,0,0,3
810633236,0,0,0,0,3
815633236,0,0,0,0,3
820633240,0,0,0,0,3
825634239,0,0,0,0,3
830634240,0,0,0,0,3
835635232,0,0,0,0,3
840635232,0,0,0,0,3
