t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
20554621,0.0,0,1.0,0
40554625,0.0,0,1.0,0
60562623,0.0,0,1.0,0
80570622,0.0,0,1.0,0
100570623,0.0,0,1.0,0
120570625,0.0,0,1.0,0
140570625,0.0,0,1.0,0
160570625,0.0,0,1.0,0
180578625,0.0,0,1.0,0
200578625,0.0,0,1.0,0
220586625,0.0,0,1.0,0
240586625,0.0,0,1.0,0
260594624,0.0,0,1.0,0
280594625,0.0,0,1.0,0
300594625,0.0,0,1.0,0
320594625,0.0,0,1.0,0
340594625,0.0,0,1.0,0
360602625,0.0,0,1.0,0
380602625,0.0,0,1.0,0
400610623,0.0,0,1.0,0
420610625,0.0,0,1.0,0
440618623,0.0,0,1.0,0
460618625,0.0,0,1.0,0
480618625,0.0,0,1.0,0
500618625,0.0,0,1.0,0
520618625,0.0,0,1.0,0
540618625,0.0,0,1.0,0
560626625,0.0,0,1.0,0
580626625,0.0,0,1.0,0
600634625,0.0,0,1.0,0
620634625,0.0,0,1.0,0
640642625,0.0,0,1.0,0
660650625,0.0,0,1.0,0
680650625,0.0,0,1.0,0
700650625,0.0,0,1.0,0
720658625,0.0,0,1.0,0
740658625,0.0,0,1.0,0
760658625,0.0,25,0.0,0
780666625,55.33,50,0.0,1
800666625,49.19,60,0.0,1
820666625,45.55,60,0.0,1
840666625,41.35,60,0.0,1
860674622,39.65,60,0.0,1
880674625,36.26,60,0.0,1
900682625,42.2,60,0.0,1
920682625,43.89,60,0.0,1
940690625,51.15,60,0.0,1
960690625,45.55,60,0.0,1
980698624,47.59,60,0.0,1
1000698625,42.07,60,0.0,1
1020698625,41.05,60,0.0,1
1040698625,44.47,60,0.0,1
1060698625,44.47,60,0.0,1
1080698625,44.47,60,0.0,1
1100706625,44.47,60,0.0,1
1120714622,44.47,60,0.0,1
1140714625,44.47,60,0.0,1
1160722625,44.47,60,0.0,1
1180722625,44.47,60,0.0,1
1200730621,44.47,60,0.0,1
1220730625,44.47,60,0.0,1
1240730625,44.47,60,0.0,1
1260730625,44.47,60,0.0,1
1280730625,44.47,60,0.0,1
1300730625,44.47,60,0.0,1
1320738625,44.47,60,0.0,1
1340738625,44.47,60,0.0,1
1360738625,44.47,60,0.0,1
1380746625,44.47,60,0.0,1
1400746625,44.47,60,0.0,1
1420754625,44.47,60,0.0,1
1440754625,42.75,60,0.0,1
1460762625,38.69,60,0.0,1
1480770624,39.25,60,0.0,1
1500770624,40.88,60,0.0,1
1520778625,39.2,60,0.0,1
1540778625,36.37,60,0.0,1
