seq,t_us,raw,avg,filtered,peak,detector_score,expected_rr_ms,hr_bpm,flags
1830,15194622,124.0,127.0,-47.0,0,0.503,672.0,0.0,17
1831,15202624,126.0,126.0,-47.0,0,0.503,672.0,0.0,17
1832,15210625,124.0,126.0,-47.0,0,0.503,672.0,0.0,17
1833,15218623,122.0,125.0,-48.0,0,0.533,672.0,0.0,17
1834,15226625,126.0,125.0,-48.0,1,0.507,672.0,0.0,17
1835,15234625,122.0,124.0,-48.0,0,0.507,672.0,0.0,17
1836,15242625,124.0,124.0,-48.0,0,0.507,672.0,0.0,17
1837,15250622,127.0,125.0,-48.0,0,0.507,672.0,0.0,17
1838,15258625,124.0,125.0,-47.0,0,0.529,672.0,0.0,17
1839,15266621,127.0,125.0,-47.0,1,0.504,672.0,0.0,17
1840,15274621,126.0,125.0,-47.0,0,0.504,672.0,0.0,17
1841,15282621,127.0,126.0,-46.0,0,0.525,672.0,0.0,17
1842,15290625,127.0,126.0,-46.0,1,0.5,672.0,0.0,17
1843,15298625,127.0,126.0,-45.0,0,0.522,672.0,0.0,17
1844,15306624,135.0,128.0,-44.0,0,0.518,672.0,0.0,17
1845,15314623,135.0,130.0,-43.0,0,0.514,672.0,0.0,17
1846,15322625,134.0,131.0,-41.0,0,0.533,672.0,0.0,17
1847,15330622,134.0,132.0,-40.0,0,0.502,672.0,0.0,17
1848,15338622,139.0,133.0,-39.0,0,0.498,672.0,0.0,17
1849,15346625,136.0,134.0,-38.0,0,0.493,672.0,0.0,17
1850,15354625,139.0,135.0,-36.0,0,0.513,672.0,0.0,17
1851,15362622,142.0,137.0,-35.0,0,0.481,672.0,0.0,17
1852,15370624,142.0,138.0,-33.0,0,0.5,672.0,0.0,17
1853,15378624,144.0,140.0,-32.0,0,0.469,672.0,0.0,17
1854,15386622,140.0,140.0,-31.0,0,0.465,672.0,0.0,17
1855,15394625,148.0,142.0,-29.0,0,0.484,672.0,0.0,17
1856,15402623,147.0,143.0,-28.0,0,0.452,672.0,0.0,17
1857,15410623,144.0,143.0,-27.0,0,0.448,672.0,0.0,17
1858,15418625,142.0,143.0,-26.0,0,0.444,672.0,0.0,17
1859,15426625,145.0,143.0,-25.0,0,0.44,672.0,0.0,17
1860,15434623,144.0,144.0,-25.0,1,0.414,672.0,0.0,17
1861,15442625,148.0,145.0,-24.0,0,0.435,672.0,0.0,17
1862,15450625,145.0,145.0,-23.0,0,0.431,672.0,0.0,17
1863,15458625,148.0,146.0,-22.0,0,0.427,672.0,0.0,17
1864,15466625,156.0,148.0,-21.0,0,0.423,672.0,0.0,17
1865,15474624,161.0,151.0,-19.0,0,0.442,672.0,0.0,17
1866,15482623,166.0,155.0,-17.0,0,0.434,672.0,0.0,17
1867,15490623,175.0,160.0,-14.0,0,0.451,672.0,0.0,17
1868,15498623,183.0,165.0,-10.0,0,0.465,672.0,0.0,17
1869,15506625,196.0,173.0,-5.0,0,0.473,672.0,0.0,17
1870,15514625,208.0,181.0,1.0,0,0.478,672.0,0.0,17
1871,15522625,223.0,191.0,8.0,0,0.526,672.0,0.0,17
1872,15530625,240.0,203.0,16.0,0,0.575,672.0,0.0,17
1873,15538625,249.0,214.0,25.0,0,0.627,672.0,0.0,17
1874,15546625,268.0,227.0,35.0,0,0.68,672.0,0.0,17
1875,15554625,280.0,240.0,46.0,0,0.735,672.0,0.0,17
1876,15562625,293.0,253.0,57.0,0,0.778,672.0,0.0,17
1877,15570625,301.0,265.0,68.0,0,0.816,672.0,0.0,17
1878,15578625,308.0,275.0,79.0,0,0.849,672.0,0.0,17
1879,15586625,317.0,285.0,89.0,0,0.863,672.0,0.0,17
1880,15594625,324.0,295.0,99.0,0,0.883,672.0,0.0,17
1881,15602621,324.0,302.0,108.0,0,0.885,672.0,0.0,17
1882,15610623,325.0,307.0,115.0,0,0.861,672.0,0.0,17
1883,15618624,319.0,310.0,121.0,0,0.846,672.0,0.0,17
1884,15626625,316.0,312.0,126.0,0,0.827,672.0,0.0,17
1885,15634625,308.0,311.0,128.0,0,0.748,672.0,0.0,17
1886,15642625,306.0,310.0,130.0,0,0.749,672.0,0.0,17
1887,15650623,295.0,306.0,129.0,1,0.721,672.0,0.0,17
1888,15658625,287.0,301.0,128.0,0,0.719,672.0,0.0,17
