seq,t_us,raw,avg,filtered,candidate,detector_score,expected_rr_ms,hr_bpm,flags
154974,1240346623,412.0,445.0,281.0,0,0.738,796.8,74.3,17
154975,1240354622,392.0,432.0,273.0,0,0.756,796.8,74.3,17
154976,1240362625,372.0,418.0,262.0,0,0.782,796.8,74.3,17
154977,1240370625,352.0,402.0,250.0,0,0.783,796.8,74.3,17
154978,1240378625,328.0,384.0,235.0,0,0.8,796.8,74.3,17
154979,1240386623,308.0,365.0,219.0,0,0.794,796.8,74.3,17
154980,1240394621,287.0,346.0,202.0,0,0.784,796.8,74.3,17
154981,1240402622,268.0,327.0,184.0,0,0.771,796.8,74.3,17
154982,1240410623,244.0,307.0,165.0,0,0.754,796.8,74.3,17
154983,1240418625,224.0,287.0,146.0,0,0.728,796.8,74.3,17
154984,1240426625,206.0,267.0,126.0,0,0.704,796.8,74.3,17
154985,1240434625,188.0,248.0,107.0,0,0.668,796.8,74.3,17
154986,1240442625,170.0,229.0,87.0,0,0.643,796.8,74.3,17
154987,1240450625,157.0,212.0,68.0,0,0.605,796.8,74.3,17
154988,1240458622,144.0,195.0,50.0,0,0.569,796.8,74.3,17
154989,1240466625,135.0,181.0,33.0,0,0.535,796.8,74.3,17
154990,1240474622,122.0,166.0,16.0,0,0.51,796.8,74.3,17
154991,1240482625,111.0,153.0,1.0,0,0.475,796.8,74.3,17
154992,1240490625,108.0,142.0,-13.0,0,0.485,796.8,74.3,17
154993,1240498620,104.0,133.0,-26.0,0,0.493,796.8,74.3,17
154994,1240506624,98.0,124.0,-37.0,0,0.489,796.8,74.3,17
154995,1240514621,96.0,118.0,-47.0,0,0.494,796.8,74.3,17
154996,1240522625,91.0,111.0,-55.0,0,0.484,796.8,74.3,17
154997,1240530625,90.0,106.0,-63.0,0,0.496,796.8,74.3,17
154998,1240538624,84.0,101.0,-70.0,0,0.496,796.8,74.3,17
154999,1240546623,84.0,97.0,-76.0,0,0.494,796.8,74.3,17
155000,1240554624,80.0,93.0,-81.0,0,0.491,796.8,74.3,17
155001,1240562625,78.0,89.0,-85.0,0,0.486,796.8,74.3,17
155002,1240570625,76.0,86.0,-89.0,0,0.492,796.8,74.3,17
155003,1240578625,69.0,82.0,-93.0,0,0.499,796.8,74.3,17
155004,1240586620,70.0,79.0,-96.0,0,0.492,796.8,74.3,17
155005,1240594625,68.0,76.0,-99.0,0,0.497,796.8,74.3,17
155006,1240602621,65.0,74.0,-102.0,0,0.502,796.8,74.3,17
155007,1240610625,61.0,71.0,-104.0,0,0.494,796.8,74.3,17
155008,1240618625,59.0,68.0,-107.0,0,0.51,796.8,74.3,17
155009,1240626621,59.0,66.0,-109.0,0,0.502,796.8,74.3,17
155010,1240634623,52.0,62.0,-111.0,0,0.505,796.8,74.3,17
155011,1240642621,52.0,60.0,-113.0,0,0.508,796.8,74.3,17
155012,1240650625,52.0,58.0,-115.0,0,0.511,796.8,74.3,17
155013,1240658625,50.0,56.0,-117.0,0,0.514,796.8,74.3,17
155014,1240666625,51.0,55.0,-118.0,0,0.505,796.8,74.3,17
155015,1240674625,47.0,53.0,-119.0,0,0.507,796.8,74.3,17
155016,1240682623,45.0,51.0,-120.0,0,0.508,796.8,74.3,17
155017,1240690623,43.0,49.0,-121.0,0,0.51,796.8,74.3,17
155018,1240698625,44.0,48.0,-122.0,0,0.511,796.8,74.3,17
155019,1240706625,44.0,47.0,-123.0,0,0.513,796.8,74.3,17
155020,1240714621,44.0,46.0,-123.0,1,0.502,796.8,74.3,17
155021,1240722628,44.0,46.0,-124.0,0,0.514,796.8,74.3,17
155022,1240730625,45.0,46.0,-124.0,1,0.504,796.8,74.3,17
155023,1240738625,42.0,45.0,-124.0,0,0.504,796.8,74.3,17
155024,1240746624,43.0,44.0,-124.0,0,0.504,796.8,74.3,17
155025,1240754624,47.0,45.0,-123.0,0,0.512,796.8,74.3,17
155026,1240762625,47.0,45.0,-122.0,0,0.511,796.8,74.3,17
155027,1240770625,48.0,46.0,-121.0,0,0.509,796.8,74.3,17
155028,1240778625,50.0,47.0,-120.0,0,0.507,796.8,74.3,17
155029,1240786625,55.0,49.0,-119.0,0,0.506,796.8,74.3,17
155030,1240794622,60.0,52.0,-116.0,0,0.522,796.8,74.3,17
155031,1240802625,63.0,54.0,-114.0,0,0.508,796.8,74.3,17
155032,1240810625,64.0,57.0,-111.0,0,0.515,796.8,74.3,17
155033,1240818625,65.0,59.0,-109.0,0,0.5,796.8,74.3,17
155034,1240826621,69.0,61.0,-106.0,0,0.507,796.8,74.3,17
155035,1240834625,68.0,63.0,-103.0,0,0.502,796.8,74.3,17
155036,1240842625,73.0,65.0,-100.0,0,0.497,796.8,74.3,17
155037,1240850625,73.0,67.0,-98.0,0,0.483,796.8,74.3,17
155038,1240858625,76.0,69.0,-95.0,0,0.489,796.8,74.3,17
155039,1240866621,84.0,73.0,-92.0,0,0.484,796.8,74.3,17
155040,1240874623,85.0,76.0,-89.0,0,0.479,796.8,74.3,17
155041,1240882625,87.0,79.0,-85.0,0,0.484,796.8,74.3,17
155042,1240890625,89.0,81.0,-82.0,0,0.468,796.8,74.3,17
