seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
57734,462409243,892.673,892.673,1,0,1,accepted,,67.21386218693743,1.0,0,462406043,3.2,1.0,7.0,0,1,fixed_lag_waveform,1.0,832.0,462406043,0,0,169
57842,463275243,866.0,866.0,1,0,1,accepted,,68.2332645125046,1.0,0,463270043,5.2,1.0,7.0,0,1,fixed_lag_waveform,1.0,824.0,463270043,0,0,169
57950,464141643,866.4,866.4,1,0,1,accepted,,69.25207756232687,1.0,1,464141643,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,824.0,0,1,0,17
58059,465010464,868.821,868.821,1,0,1,accepted,,69.1554562790561,1.0,1,465038044,-27.58,1.0,7.0,0,1,fixed_lag_waveform,1.0,832.1279999999999,465038044,0,0,185
58164,465847821,837.357,837.357,1,0,1,accepted,,69.25207756232687,1.0,1,465846043,1.778,1.0,7.0,0,1,fixed_lag_waveform,1.0,832.51536,465846043,0,0,185
58267,466674044,826.223,826.223,1,0,1,accepted,,69.26806742091895,1.0,0,466670044,4.0,1.0,7.0,0,1,fixed_lag_waveform,1.0,826.6880000000001,466670044,0,0,169
58369,467490934,816.89,816.89,1,0,1,accepted,,69.28406466512702,1.0,0,467486046,4.888,1.0,7.0,0,1,fixed_lag_waveform,1.0,826.624,467486046,0,0,169
58470,468297243,806.309,806.309,1,0,1,accepted,,70.44911900441305,1.0,0,468294043,3.2,1.0,7.0,0,1,fixed_lag_waveform,1.0,821.12,468294043,0,0,169
58561,469027306,730.063,730.063,1,0,1,accepted,,71.65402570229902,1.0,1,469027306,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,811.0971200000001,0,1,0,17
58653,469759761,732.455,732.455,1,0,1,accepted,,72.61961964263885,1.0,1,469758047,1.714,1.0,7.0,0,1,fixed_lag_waveform,1.0,806.51424,469758047,0,0,185
58746,470506424,746.663,746.663,1,0,1,accepted,,73.4493016195571,1.0,0,470174043,332.381,1.0,7.0,1,1,fixed_lag_waveform,1.0,802.95136,470174043,0,0,169
58846,471304952,798.528,798.528,1,0,1,accepted,,74.41315922307702,1.0,1,471302043,2.909,1.0,7.0,0,1,fixed_lag_waveform,1.0,794.5248,471302043,0,0,185
58944,472089679,784.727,784.727,1,0,1,accepted,,75.13825438807406,1.0,1,472089679,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,785.69888,0,1,0,17
59039,472851567,761.888,761.888,1,0,1,accepted,,76.4597114665355,1.0,1,472502043,349.524,1.0,7.0,1,1,fixed_lag_waveform,1.0,783.20896,472502043,0,0,185
59135,473622043,770.476,770.476,1,0,1,accepted,,77.87393766970028,1.0,0,473622043,0.0,1.0,7.0,0,1,fixed_lag_waveform,1.0,773.3526400000001,473622043,0,0,169
59224,474326233,704.19,704.19,1,0,1,accepted,,78.75173253811583,1.0,0,474326043,0.19,1.0,7.0,0,1,fixed_lag_waveform,1.0,768.79232,474326043,0,0,169
59313,475044828,718.595,718.595,1,0,1,accepted,,80.35753747005008,1.0,0,475046045,-1.217,1.0,7.0,0,1,fixed_lag_waveform,1.0,760.6041600000001,475046045,0,0,169
59403,475763186,718.358,718.358,1,0,1,accepted,,80.35753747005008,1.0,0,475758044,5.142,1.0,7.0,0,1,fixed_lag_waveform,1.0,755.73216,475758044,0,0,169
59495,476502044,738.858,738.858,1,0,1,accepted,,80.35753747005008,1.0,0,476502044,0.0,1.0,7.0,0,1,fixed_lag_waveform,1.0,750.29216,476502044,0,0,169
59590,477257695,755.651,755.651,1,0,1,accepted,,79.40173439855172,1.0,0,477254043,3.652,1.0,7.0,0,1,fixed_lag_waveform,1.0,744.85216,477254043,0,0,169
