seq,t_us,rr_ms,hr_bpm,score,flags
57621,461510044,848.0,77.3,0.841,169
57733,462406043,895.0,77.3,0.804,169
57841,463270043,864.0,77.3,0.802,169
57896,463710043,440.0,77.3,0.507,169
58006,464590044,880.0,77.3,0.509,169
58062,465038044,448.0,77.3,0.53,185
58163,465846043,807.0,77.3,0.546,185
58266,466670044,824.0,77.3,0.828,169
58368,467486046,816.0,77.3,0.812,169
58469,468294043,807.0,77.3,0.827,169
58652,469758047,1464.0,77.3,0.792,185
58704,470174043,415.0,77.3,0.509,169
58845,471302043,1128.0,77.3,0.786,185
58897,471718045,416.0,77.3,0.485,185
58995,472502043,783.0,77.3,0.485,185
59135,473622043,1120.0,77.3,0.772,169
59223,474326043,704.0,77.3,0.776,169
59313,475046045,720.0,77.3,0.824,169
59402,475758044,711.0,77.3,0.85,169
59495,476502044,744.0,77.3,0.865,169
59589,477254043,751.0,77.3,0.864,169
59676,477950043,696.0,77.3,0.858,169
59762,478638043,688.0,77.3,0.84,169
59942,480078043,1440.0,77.3,0.774,185
60031,480790043,712.0,77.3,0.768,169
60125,481542045,752.0,77.3,0.789,169
60219,482294044,751.0,77.3,0.789,169
60312,483038043,743.0,77.3,0.819,169
60404,483774044,736.0,77.3,0.819,169
60494,484494045,720.0,77.3,0.85,169
60577,485158043,663.0,77.3,0.882,169
60660,485822043,664.0,77.3,0.861,169
60794,486894044,1072.0,77.3,0.488,185
60929,487974043,1079.0,77.3,0.772,169
61023,488726045,752.0,77.3,0.778,169
61116,489470043,743.0,77.3,0.791,169
61211,490230043,760.0,77.3,0.798,169
61306,490990043,760.0,77.3,0.807,169
61392,491678043,688.0,77.3,0.851,169
61484,492414043,736.0,77.3,0.876,169
61579,493174043,760.0,77.3,0.865,169
61674,493934043,760.0,77.3,0.862,169
61774,494734045,800.0,77.3,0.875,169
61880,495582043,847.0,77.3,0.865,169
61988,496446043,864.0,77.3,0.839,169
62093,497286043,840.0,77.3,0.826,169
62197,498118046,832.0,77.3,0.82,169
62296,498910043,791.0,77.3,0.82,169
62399,499734044,824.0,77.3,0.809,169
62497,500518045,784.0,77.3,0.804,169
62598,501326043,807.0,77.3,0.813,169
62700,502142043,816.0,77.3,0.801,169
62807,502998043,856.0,77.3,0.784,169
62912,503838043,840.0,77.3,0.774,169
62968,504286043,448.0,77.3,0.489,185
63069,505094043,808.0,77.3,0.515,169
63205,506182043,1088.0,77.3,0.778,169
63291,506870043,688.0,77.3,0.833,169
63376,507550046,680.0,77.3,0.856,169
63463,508246043,695.0,77.3,0.881,169
63555,508982044,736.0,77.3,0.868,169
63650,509742045,760.0,77.3,0.862,169
63746,510510043,767.0,77.3,0.849,169
63843,511286044,776.0,77.3,0.842,169
63935,512022043,735.0,77.3,0.831,169
64108,513406043,1384.0,77.3,0.782,169
64197,514118045,712.0,77.3,0.822,169
64287,514838044,719.0,77.3,0.821,169
64382,515598043,759.0,77.3,0.825,169
64480,516382043,784.0,77.3,0.821,169
64579,517174043,792.0,77.3,0.827,169
