seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
57622,461510044,461516570,0.0,70.75471698113208,1.0,6.526,1.0,7.0,0,1,fixed_lag_waveform,1.0,848.0,461510044,0,0,169
57734,462406043,462409243,892.673,67.21386218693743,1.0,3.2,1.0,7.0,0,1,fixed_lag_waveform,1.0,832.0,462406043,0,0,169
57842,463270043,463275243,866.0,68.2332645125046,1.0,5.2,1.0,7.0,0,1,fixed_lag_waveform,1.0,824.0,463270043,0,0,169
57950,0,464141643,866.4,69.25207756232687,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,824.0,0,1,0,17
58059,465038044,465010464,868.821,69.1554562790561,1.0,-27.58,1.0,7.0,0,1,fixed_lag_waveform,1.0,832.1279999999999,465038044,0,0,185
58164,465846043,465847821,837.357,69.25207756232687,1.0,1.778,1.0,7.0,0,1,fixed_lag_waveform,1.0,832.51536,465846043,0,0,185
58267,466670044,466674044,826.223,69.26806742091895,1.0,4.0,1.0,7.0,0,1,fixed_lag_waveform,1.0,826.6880000000001,466670044,0,0,169
58369,467486046,467490934,816.89,69.28406466512702,1.0,4.888,1.0,7.0,0,1,fixed_lag_waveform,1.0,826.624,467486046,0,0,169
58470,468294043,468297243,806.309,70.44911900441305,1.0,3.2,1.0,7.0,0,1,fixed_lag_waveform,1.0,821.12,468294043,0,0,169
58561,0,469027306,730.063,71.65402570229902,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,811.0971200000001,0,1,0,17
58653,469758047,469759761,732.455,72.61961964263885,1.0,1.714,1.0,7.0,0,1,fixed_lag_waveform,1.0,806.51424,469758047,0,0,185
58746,470174043,470506424,746.663,73.4493016195571,1.0,332.381,1.0,7.0,1,1,fixed_lag_waveform,1.0,802.95136,470174043,0,0,169
58846,471302043,471304952,798.528,74.41315922307702,1.0,2.909,1.0,7.0,0,1,fixed_lag_waveform,1.0,794.5248,471302043,0,0,185
58944,0,472089679,784.727,75.13825438807406,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,785.69888,0,1,0,17
