t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,frequency_waveform_inserted_ratio,frequency_timing_recovered_ratio,frequency_timing_shift_delta_p95_ms,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
483042043,82.05678055691936,INVALID,有效 NN 不足：28/40；连续有效 NN 对不足：27/30,nan,nan,nan,nan,nan,1.0,7.0,225.70064999999954,0.0,LIMITED,频域窗口积累中：21/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,INVALID,0.0,0.0,0.0,0,0.0,0,0,0
503840304,72.81544561232329,VALID,,29.46596081639513,24.480493358513534,34.00357965744092,57.67976512375884,11.11111111111111,1.0,7.0,13.31679999999994,0.0,LIMITED,频域窗口积累中：41/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
523954424,78.68718303819082,VALID,,32.274286443030455,26.967015455090966,37.04753277140123,53.75769003861544,8.47457627118644,1.0,7.0,6.432349999999999,0.0,LIMITED,频域窗口积累中：62/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
544120304,78.85626867907864,VALID,,32.81312600681293,28.49772924216808,37.68214661769717,59.8306847883598,6.779661016949152,1.0,7.0,6.169349999999995,0.0,LIMITED,频域窗口积累中：82/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841041588909625,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
564280953,75.26531021852028,VALID,,33.10945355860095,28.123567481782473,37.216442645963205,54.646804312753076,10.16949152542373,1.0,7.0,259.6184999999999,0.0,LIMITED,频域窗口积累中：102/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
584359045,84.09226603429283,VALID,,31.77922557162467,25.1881937898489,40.105586816265074,45.28212764760271,8.47457627118644,1.0,7.0,271.23794999999996,0.0,LIMITED,频域窗口积累中：122/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
604537710,72.84497254351577,VALID,,27.918135136350443,21.064499227506207,36.06222641691588,53.4542704340146,5.084745762711865,1.0,7.0,68.45429999999939,0.0,LIMITED,频域窗口积累中：142/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
625119245,66.2648074234255,VALID,,32.17239502943205,22.719595835382602,41.20230541820026,67.76931195373062,12.280701754385964,1.0,7.0,58.05419999999999,0.0,LIMITED,频域窗口积累中：163/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,0.0,0,0,0
645431581,68.10318995341743,VALID,,30.167873037330484,22.335680102379367,37.096760603241755,63.94175377347499,14.035087719298245,1.0,7.0,6.556699999999999,0.0,LIMITED,频域窗口积累中：183/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,0.0,0,0,0
665822658,78.40923347133358,VALID,,25.25918598269696,17.397543745585175,30.81072432906328,62.329353112805,10.16949152542373,1.0,7.0,6.34545,0.0,LIMITED,频域窗口积累中：203/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
