t_us,nn_ms,corrected,metric_eligible,source
462409243,892.673,0,1,raw
463275243,866.0,0,1,raw
464141643,866.4,0,1,raw
465010464,868.821,0,1,raw
465847821,837.357,0,1,raw
466674044,826.223,0,1,raw
467490934,816.89,0,1,raw
468297243,806.309,0,1,raw
469027306,730.063,0,1,raw
469759761,732.455,0,1,raw
470506424,746.663,0,1,raw
471304952,798.528,0,1,raw
472089679,784.727,0,1,raw
472851567,761.888,0,1,raw
473622043,770.476,0,1,raw
474326233,704.19,0,1,raw
475044828,718.595,0,1,raw
475763186,718.358,0,1,raw
476502044,738.858,0,1,raw
477257695,755.651,0,1,raw
477953347,695.652,0,1,raw
478638565,685.218,0,1,raw
479349175,710.61,0,1,raw
480080376,731.201,0,1,raw
480793043,712.667,0,1,raw
481545712,752.669,0,1,raw
482295758,750.046,0,1,raw
483042043,746.285,0,1,raw
483773870,731.827,0,1,raw
484498045,724.175,0,1,raw
485160652,662.607,0,1,raw
485823608,662.956,0,1,raw
486521316,697.708,0,1,raw
487243782,722.466,0,1,raw
487980443,736.661,0,1,raw
488724590,744.147,0,1,raw
489471608,747.018,0,1,raw
490234407,762.799,0,1,raw
490993043,758.636,0,1,raw
491685247,692.204,0,1,raw
492417347,732.1,0,1,raw
493175757,758.41,0,1,raw
493938844,763.087,0,1,raw
494741092,802.248,0,1,raw
495584900,843.808,0,1,raw
496449000,864.1,0,1,raw
497288588,839.588,0,1,raw
498117872,829.284,0,1,raw
498910770,792.898,0,1,raw
499734771,824.001,0,1,raw
500521349,786.578,0,1,raw
501327498,806.149,0,1,raw
502144123,816.625,0,1,raw
502998770,854.647,0,1,raw
503840304,841.534,0,1,raw
504666805,826.501,0,1,raw
505463864,797.059,0,1,raw
506184225,720.361,0,1,raw
506874043,689.818,0,1,raw
507549646,675.603,0,1,raw
508249662,700.016,0,1,raw
508985348,735.686,0,1,raw
509743045,757.697,0,1,raw
510514043,770.998,0,1,raw
511284044,770.001,0,1,raw
512029834,745.79,0,1,raw
512735757,705.923,0,1,raw
513407757,672.0,0,1,raw
514122806,715.049,0,1,raw
514842464,719.658,0,1,raw
515597376,754.912,0,1,raw
516383861,786.485,0,1,raw
517178806,794.945,0,1,raw
517985712,806.906,0,1,raw
518748225,762.513,0,1,raw
519425662,677.437,0,1,raw
520106043,680.381,0,1,raw
520787501,681.458,0,1,raw
521506043,718.542,0,1,raw
522287959,781.916,0,1,raw
523098741,810.782,0,1,raw
523954424,855.683,0,1,raw
524821091,866.667,0,1,raw
525653091,832.0,0,1,raw
526436953,783.862,0,1,raw
527215862,778.909,0,1,raw
527983861,767.999,0,1,raw
528782444,798.583,0,1,raw
529604330,821.886,0,1,raw
530444329,839.999,0,1,raw
531318843,874.514,0,1,raw
532215863,897.02,0,1,raw
533085854,869.991,0,1,raw
533957472,871.618,0,1,raw
534818043,860.571,0,1,raw
535678410,860.367,0,1,raw
536508589,830.179,0,1,raw
537298443,789.854,0,1,raw
538120359,821.916,0,1,raw
538930805,810.446,0,1,raw
539666466,735.661,0,1,raw
540362043,695.577,0,1,raw
541054995,692.952,0,1,raw
541791498,736.503,0,1,raw
542552376,760.878,0,1,raw
543330806,778.43,0,1,raw
544120304,789.498,0,1,raw
544933173,812.869,0,1,raw
545693680,760.507,0,1,raw
546393317,699.637,0,1,raw
547109472,716.155,0,1,raw
547825710,716.238,0,1,raw
548558916,733.206,0,1,raw
549354045,795.129,0,1,raw
550172130,818.085,0,1,raw
550998710,826.58,0,1,raw
551822920,824.21,0,1,raw
552623710,800.79,0,1,raw
553404588,780.878,0,1,raw
554139710,735.122,0,1,raw
554831043,691.333,0,1,raw
555556481,725.438,0,1,raw
556311612,755.131,0,1,raw
557096043,784.431,0,1,raw
557920900,824.857,0,1,raw
558739863,818.963,0,1,raw
559537043,797.18,0,1,raw
560346043,809.0,0,1,raw
561116591,770.548,0,1,raw
561922407,805.816,0,1,raw
562715498,793.091,0,1,raw
563494913,779.415,0,1,raw
564280953,786.04,0,1,raw
565048123,767.17,0,1,raw
565772591,724.468,0,1,raw
566473084,700.493,0,1,raw
567184952,711.868,0,1,raw
567904305,719.353,0,1,raw
568615262,710.957,0,1,raw
569318710,703.448,0,1,raw
570049406,730.696,0,1,raw
570809347,759.941,0,1,raw
571616652,807.305,0,1,raw
572432376,815.724,0,1,raw
573220376,788.0,0,1,raw
574037091,816.715,0,1,raw
574855261,818.17,0,1,raw
575661473,806.212,0,1,raw
576449044,787.571,0,1,raw
577219086,770.042,0,1,raw
577943862,724.776,0,1,raw
578644590,700.728,0,1,raw
579366565,721.975,0,1,raw
580099086,732.521,0,1,raw
580812588,713.502,0,1,raw
581522044,709.456,0,1,raw
582225710,703.666,0,1,raw
582862843,637.133,0,1,raw
583611326,748.483,0,1,raw
584359045,747.719,0,1,raw
585128522,769.477,0,1,raw
585898047,769.525,0,1,raw
586653173,755.126,0,1,raw
587367260,714.087,0,1,raw
588103483,736.223,0,1,raw
588845885,742.402,0,1,raw
589597472,751.587,0,1,raw
590376226,778.754,0,1,raw
591165175,788.949,0,1,raw
591976124,810.949,0,1,raw
592812478,836.354,0,1,raw
593634391,821.913,0,1,raw
594508588,874.197,0,1,raw
595396225,887.637,0,1,raw
596296126,899.901,0,1,raw
597167163,871.037,0,1,raw
598012043,844.88,0,1,raw
598851710,839.667,0,1,raw
599683434,831.724,0,1,raw
600477244,793.81,0,1,raw
601265724,788.48,0,1,raw
602062217,796.493,0,1,raw
602875964,813.747,0,1,raw
603714043,838.079,0,1,raw
604537710,823.667,0,1,raw
605298044,760.334,0,1,raw
606074363,776.319,0,1,raw
606870217,795.854,0,1,raw
607695164,824.947,0,1,raw
608560043,864.879,0,1,raw
609405563,845.52,0,1,raw
610241747,836.184,0,1,raw
611065735,823.988,0,1,raw
611900130,834.395,0,1,raw
612733379,833.249,0,1,raw
613556843,823.464,0,1,raw
614357043,800.2,0,1,raw
615136123,779.08,0,1,raw
615842805,706.682,0,1,raw
617197735,703.517,0,1,raw
617945085,747.35,0,1,raw
618741735,796.65,0,1,raw
619612900,871.165,0,1,raw
620543608,930.708,0,1,raw
621477316,933.708,0,1,raw
622404588,927.272,0,1,raw
623324588,920.0,0,1,raw
624230046,905.458,0,1,raw
625119245,889.199,0,1,raw
626010043,890.798,0,1,raw
626901175,891.132,0,1,raw
627763088,861.913,0,1,raw
628563134,800.046,0,1,raw
629316588,753.454,0,1,raw
630026377,709.789,0,1,raw
630732479,706.102,0,1,raw
631455483,723.004,0,1,raw
632170740,715.257,0,1,raw
632885563,714.823,0,1,raw
633607045,721.482,0,1,raw
634357243,750.198,0,1,raw
635121735,764.492,0,1,raw
635936710,814.975,0,1,raw
636769403,832.693,0,1,raw
637620712,851.309,0,1,raw
638496710,875.998,0,1,raw
639377726,881.016,0,1,raw
640266407,888.681,0,1,raw
641163582,897.175,0,1,raw
642060378,896.796,0,1,raw
642966191,905.813,0,1,raw
643820046,853.855,0,1,raw
644652816,832.77,0,1,raw
645431581,778.765,0,1,raw
646212197,780.616,0,1,raw
646987323,775.126,0,1,raw
647782043,794.72,0,1,raw
648584123,802.08,0,1,raw
649395643,811.52,0,1,raw
650187963,792.32,0,1,raw
650980603,792.64,0,1,raw
651770046,789.443,0,1,raw
652573476,803.43,0,1,raw
653365010,791.534,0,1,raw
654157600,792.59,0,1,raw
654924812,767.212,0,1,raw
655706043,781.231,0,1,raw
656504268,798.225,0,1,raw
657297767,793.499,0,1,raw
658098659,800.892,0,1,raw
658910787,812.128,0,1,raw
659714044,803.257,0,1,raw
660492505,778.461,0,1,raw
661237010,744.505,0,1,raw
661987323,750.313,0,1,raw
662747643,760.32,0,1,raw
663512859,765.216,0,1,raw
664282658,769.799,0,1,raw
665063472,780.814,0,1,raw
665822658,759.186,0,1,raw
666588117,765.459,0,1,raw
667351378,763.261,0,1,raw
668131891,780.513,0,1,raw
668910352,778.461,0,1,raw
669686784,776.432,0,1,raw
670459524,772.74,0,1,raw
671213757,754.233,0,1,raw
671947890,734.133,0,1,raw
672684710,736.82,0,1,raw
673424043,739.333,0,1,raw
674157599,733.556,0,1,raw
674854847,697.248,0,1,raw
675551757,696.91,0,1,raw
676275822,724.065,0,1,raw
677026968,751.146,0,1,raw
677791376,764.408,0,1,raw
678574192,782.816,0,1,raw
679350043,775.851,0,1,raw
680111837,761.794,0,1,raw
680891146,779.309,0,1,raw
681659643,768.497,0,1,raw
682408329,748.686,0,1,raw
683147146,738.817,0,1,raw
683903472,756.326,0,1,raw
684663080,759.608,0,1,raw
685433243,770.163,0,1,raw
686201757,768.514,0,1,raw
686944444,742.687,0,1,raw
687668044,723.6,0,1,raw
688352614,684.57,0,1,raw
689005757,653.143,0,1,raw
689656112,650.355,0,1,raw
690294329,638.217,0,1,raw
690974543,680.214,0,1,raw
691693512,718.969,0,1,raw
692425270,731.758,0,1,raw
693168588,743.318,0,1,raw
693920976,752.388,0,1,raw
694635698,714.722,0,1,raw
695326576,690.878,0,1,raw
695983838,657.262,0,1,raw
696616346,632.508,0,1,raw
697248046,631.7,0,1,raw
697836102,588.056,0,1,raw
698448588,612.486,0,1,raw
699039619,591.031,0,1,raw
699609808,570.189,0,1,raw
700191619,581.811,0,1,raw
700744163,552.544,0,1,raw
701308227,564.064,0,1,raw
701893720,585.493,0,1,raw
702451255,557.535,0,1,raw
703046367,595.112,0,1,raw
703654407,608.04,0,1,raw
704307774,653.367,0,1,raw
704970908,663.134,0,1,raw
705673833,702.925,0,1,raw
706364932,691.099,0,1,raw
707012487,647.555,0,1,raw
707792313,779.826,0,1,raw
708508713,716.4,0,1,raw
709334586,825.873,0,1,raw
710219599,885.013,0,1,raw
711138909,919.31,0,1,raw
712012045,873.136,0,1,raw
712820162,808.117,0,1,raw
713611255,791.093,0,1,raw
714354279,743.024,0,1,raw
715035740,681.461,0,1,raw
715723643,687.903,0,1,raw
716424214,700.571,0,1,raw
717082795,658.581,0,1,raw
717791448,708.653,0,1,raw
718520101,728.653,0,1,raw
719299044,778.943,0,1,raw
720052867,753.823,0,1,raw
720796543,743.676,0,1,raw
721562043,765.5,0,1,raw
722322287,760.244,0,1,raw
723058793,736.506,0,1,raw
723783757,724.964,0,1,raw
724525438,741.681,0,1,raw
725279987,754.549,0,1,raw
726078614,798.627,0,1,raw
726833293,754.679,0,1,raw
727587543,754.25,0,1,raw
728294891,707.348,0,1,raw
728951464,656.573,0,1,raw
729578301,626.837,0,1,raw
730195077,616.776,0,1,raw
730810793,615.716,0,1,raw
731429793,619.0,0,1,raw
732041337,611.544,0,1,raw
732668855,627.518,0,1,raw
733394908,726.053,0,1,raw
734264780,869.872,0,1,raw
735165196,900.416,0,1,raw
736132295,967.099,0,1,raw
737108545,976.25,0,1,raw
738010793,902.248,0,1,raw
738897294,886.501,0,1,raw
739773044,875.75,0,1,raw
740677914,904.87,0,1,raw
741565797,887.883,0,1,raw
742491543,925.746,0,1,raw
743411643,920.1,0,1,raw
744299743,888.1,0,1,raw
745142688,842.945,0,1,raw
746027543,884.855,0,1,raw
746925046,897.503,0,1,raw
747784665,859.619,0,1,raw
748638043,853.378,0,1,raw
749514580,876.537,0,1,raw
750421793,907.213,0,1,raw
751286046,864.253,0,1,raw
752125472,839.426,0,1,raw
752969527,844.055,0,1,raw
753802332,832.805,0,1,raw
754607111,804.779,0,1,raw
755462311,855.2,0,1,raw
756294735,832.424,0,1,raw
757087377,792.642,0,1,raw
757821895,734.518,0,1,raw
758587524,765.629,0,1,raw
759400664,813.14,0,1,raw
760221247,820.583,0,1,raw
761026046,804.799,0,1,raw
761857269,831.223,0,1,raw
762731794,874.525,0,1,raw
763614043,882.249,0,1,raw
764499850,885.807,0,1,raw
765373437,873.587,0,1,raw
766186595,813.158,0,1,raw
766966843,780.248,0,1,raw
767768832,801.989,0,1,raw
768563544,794.712,0,1,raw
769331376,767.832,0,1,raw
770073787,742.411,0,1,raw
770883075,809.288,0,1,raw
771717437,834.362,0,1,raw
772563793,846.356,0,1,raw
773456592,892.799,0,1,raw
774398407,941.815,0,1,raw
775268978,870.571,0,1,raw
776149811,880.833,0,1,raw
777027498,877.687,0,1,raw
777868625,841.127,0,1,raw
778667376,798.751,0,1,raw
779491984,824.608,0,1,raw
780315075,823.091,0,1,raw
781138046,822.971,0,1,raw
781924526,786.48,0,1,raw
782729558,805.032,0,1,raw
783572543,842.985,0,1,raw
784425804,853.261,0,1,raw
785257528,831.724,0,1,raw
786114847,857.319,0,1,raw
786988043,873.196,0,1,raw
787847465,859.422,0,1,raw
788659699,812.234,0,1,raw
789495293,835.594,0,1,raw
790337801,842.508,0,1,raw
791186285,848.484,0,1,raw
791999376,813.091,0,1,raw
792804467,805.091,0,1,raw
793631010,826.543,0,1,raw
794473543,842.533,0,1,raw
795300710,827.167,0,1,raw
796160713,860.003,0,1,raw
797030576,869.863,0,1,raw
797869121,838.545,0,1,raw
798695284,826.163,0,1,raw
799541656,846.372,0,1,raw
800394044,852.388,0,1,raw
801243274,849.23,0,1,raw
802055969,812.695,0,1,raw
802871379,815.41,0,1,raw
803688859,817.48,0,1,raw
804485302,796.443,0,1,raw
805273748,788.446,0,1,raw
806083976,810.228,0,1,raw
806858683,774.707,0,1,raw
807604900,746.217,0,1,raw
808282043,677.143,0,1,raw
808982457,700.414,0,1,raw
809669474,687.017,0,1,raw
810354577,685.103,0,1,raw
811070947,716.37,0,1,raw
811855793,784.846,0,1,raw
812666301,810.508,0,1,raw
813452882,786.581,0,1,raw
814231862,778.98,0,1,raw
815030172,798.31,0,1,raw
815837244,807.072,0,1,raw
816644446,807.202,0,1,raw
817437510,793.064,0,1,raw
818270174,832.664,0,1,raw
819122820,852.646,0,1,raw
819987849,865.029,0,1,raw
820811110,823.261,0,1,raw
821645905,834.795,0,1,raw
822497243,851.338,0,1,raw
823352496,855.253,0,1,raw
824164445,811.949,0,1,raw
824972293,807.848,0,1,raw
825814545,842.252,0,1,raw
826665546,851.001,0,1,raw
827475761,810.215,0,1,raw
828282576,806.815,0,1,raw
829081014,798.438,0,1,raw
829864710,783.696,0,1,raw
830600446,735.736,0,1,raw
831362319,761.873,0,1,raw
832129011,766.692,0,1,raw
832910172,781.161,0,1,raw
833649269,739.097,0,1,raw
834406410,757.141,0,1,raw
835200396,793.986,0,1,raw
836046891,846.495,0,1,raw
836879720,832.829,0,1,raw
837687376,807.656,0,1,raw
838517102,829.726,0,1,raw
839332293,815.191,0,1,raw
840103862,771.569,0,1,raw
840888868,785.006,0,1,raw
841638293,749.425,0,1,raw
842340624,702.331,0,1,raw
843059982,719.358,0,1,raw
843800932,740.95,0,1,raw
844574514,773.582,0,1,raw
845338562,764.048,0,1,raw
846089043,750.481,0,1,raw
846887378,798.335,0,1,raw
847695620,808.242,0,1,raw
848472495,776.875,0,1,raw
849249317,776.822,0,1,raw
850028633,779.316,0,1,raw
850812469,783.836,0,1,raw
851544237,731.768,0,1,raw
852303207,758.97,0,1,raw
853122046,818.839,0,1,raw
853953543,831.497,0,1,raw
854761785,808.242,0,1,raw
855537269,775.484,0,1,raw
856318043,780.774,0,1,raw
857106843,788.8,0,1,raw
857894043,787.2,0,1,raw
858667910,773.867,0,1,raw
859486894,818.984,0,1,raw
860293293,806.399,0,1,raw
861063645,770.352,0,1,raw
861824976,761.331,0,1,raw
862610576,785.6,0,1,raw
863433801,823.225,0,1,raw
864250817,817.016,0,1,raw
865040296,789.479,0,1,raw
865860886,820.59,0,1,raw
866694164,833.278,0,1,raw
867479204,785.04,0,1,raw
868241244,762.04,0,1,raw
869023836,782.592,0,1,raw
869806543,782.707,0,1,raw
870565353,758.81,0,1,raw
871347543,782.19,0,1,raw
872155377,807.834,0,1,raw
872967284,811.907,0,1,raw
873734043,766.759,0,1,raw
874535378,801.335,0,1,raw
875367643,832.265,0,1,raw
876160329,792.686,0,1,raw
876922871,762.542,0,1,raw
877714874,792.003,0,1,raw
878510733,795.859,0,1,raw
879278045,767.312,0,1,raw
880006181,728.136,0,1,raw
880765398,759.217,0,1,raw
881554304,788.906,0,1,raw
882365398,811.094,0,1,raw
883165914,800.516,0,1,raw
883901776,735.862,0,1,raw
884639690,737.914,0,1,raw
885362559,722.869,0,1,raw
886159720,797.161,0,1,raw
886882331,722.611,0,1,raw
887588400,706.069,0,1,raw
888330046,741.646,0,1,raw
889076043,745.997,0,1,raw
889787110,711.067,0,1,raw
890513801,726.691,0,1,raw
891296793,782.992,0,1,raw
892137543,840.75,0,1,raw
892988624,851.081,0,1,raw
893793186,804.562,0,1,raw
894581794,788.608,0,1,raw
895380976,799.182,0,1,raw
896181142,800.166,0,1,raw
896953513,772.371,0,1,raw
897736495,782.982,0,1,raw
898530043,793.548,0,1,raw
899318546,788.503,0,1,raw
900071284,752.738,0,1,raw
900825793,754.509,0,1,raw
901626301,800.508,0,1,raw
902422579,796.278,0,1,raw
903200497,777.918,0,1,raw
903977543,777.046,0,1,raw
904811044,833.501,0,1,raw
905654688,843.644,0,1,raw
906470543,815.855,0,1,raw
907294796,824.253,0,1,raw
908119043,824.247,0,1,raw
908908043,789.0,0,1,raw
909677398,769.355,0,1,raw
910454843,777.445,0,1,raw
911202846,748.003,0,1,raw
911938310,735.464,0,1,raw
912685679,747.369,0,1,raw
913417527,731.848,0,1,raw
914130043,712.516,0,1,raw
914868631,738.588,0,1,raw
915603333,734.702,0,1,raw
916340446,737.113,0,1,raw
917104161,763.715,0,1,raw
917830949,726.788,0,1,raw
918506984,676.035,0,1,raw
919182044,675.06,0,1,raw
919830166,648.122,0,1,raw
920482843,652.677,0,1,raw
921169543,686.7,0,1,raw
921870293,700.75,0,1,raw
922588543,718.25,0,1,raw
923283296,694.753,0,1,raw
923980225,696.929,0,1,raw
924720753,740.528,0,1,raw
925518044,797.291,0,1,raw
926336867,818.823,0,1,raw
927148976,812.109,0,1,raw
927931110,782.134,0,1,raw
928712495,781.385,0,1,raw
929508108,795.613,0,1,raw
930305527,797.419,0,1,raw
931029008,723.481,0,1,raw
931705043,676.035,0,1,raw
932338046,633.003,0,1,raw
932960329,622.283,0,1,raw
933599463,639.134,0,1,raw
934255293,655.83,0,1,raw
934910514,655.221,0,1,raw
935543646,633.132,0,1,raw
936204624,660.978,0,1,raw
936886736,682.112,0,1,raw
937576813,690.077,0,1,raw
938264125,687.312,0,1,raw
938983610,719.485,0,1,raw
939730932,747.322,0,1,raw
940480614,749.682,0,1,raw
941245243,764.629,0,1,raw
942006047,760.804,0,1,raw
942739591,733.544,0,1,raw
943449492,709.901,0,1,raw
944170579,721.087,0,1,raw
944903293,732.714,0,1,raw
945624176,720.883,0,1,raw
946325437,701.261,0,1,raw
947014487,689.05,0,1,raw
947679693,665.206,0,1,raw
948305814,626.121,0,1,raw
948948487,642.673,0,1,raw
