t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
461470043,0,1,0.000000,0.000000,0.000000,0,0,0,0,0.000000,461470043,0,
466470046,0,1,0.000000,0.000000,864.000000,0,0,0,0,0.000000,466470046,0,
471478045,464141643,1,0.870854,824.000000,820.001500,13,1,1,0,320.727778,464212046,471462046,
476486043,469027306,1,0.843503,811.097120,795.997500,19,1,1,0,319.161111,469076043,476326043,
481486043,473622043,1,0.835929,768.792320,716.001000,25,0,0,0,316.866667,474148043,481398043,
486486043,478638565,1,0.906055,730.430400,728.001000,26,0,0,0,311.711111,479188045,486438045,
491486045,483773870,1,0.931480,729.024320,747.999000,27,0,0,0,313.166667,484100046,491350046,
496494043,488724590,1,0.884356,732.216000,760.000000,27,0,0,0,316.555556,489172043,496422043,
501494046,493938844,1,0.845119,761.285760,795.999500,26,0,0,0,322.022222,494228043,501478043,
506502045,498910770,1,0.907545,800.719360,828.002000,25,0,0,0,324.855556,499116043,506366043,
511510045,503840304,1,0.875575,807.680320,775.999500,25,0,0,0,322.000000,504188043,511438043,
516518043,508985348,1,0.853083,763.099520,748.000000,26,0,0,0,316.711111,509260043,516510043,
521518043,514122806,1,0.829643,746.779520,763.998500,26,1,0,1,311.155556,514140043,521390043,
526518045,518748225,1,0.838951,758.371840,788.000000,26,0,0,0,316.555556,519244043,526494043,
531526043,523954424,1,0.837118,777.124160,808.002000,25,1,0,1,321.744444,524100045,531350045,
536526043,528782444,1,0.833359,810.426560,835.999500,24,0,0,0,325.155556,529172043,536422043,
541526046,533957472,1,0.840122,829.119680,860.001500,24,0,0,0,327.300000,534244043,541494043,
546534043,538930805,1,0.828785,824.822720,768.000500,25,1,1,0,328.344444,539108043,546358043,
551534045,544120304,1,0.802342,782.040960,760.000500,25,1,0,1,334.411111,544148046,551398046,
556542045,548558916,1,0.853138,760.162240,787.996500,26,0,0,0,336.333333,549228045,556478045,
561550043,554139710,1,0.905899,782.121280,800.000000,25,1,0,1,338.444444,554284043,561534043,
566550043,558739863,1,0.925906,783.000960,800.000000,25,0,0,0,340.744444,559212043,566462043,
571550043,563494913,1,0.903130,771.897600,728.003000,25,1,0,1,340.333333,564300043,571550043,
576550044,568615262,1,0.908623,759.509760,748.001000,25,0,0,0,347.122222,569180043,576430043,
581550046,574037091,1,0.893477,759.981120,807.998000,26,0,0,0,342.377778,574260043,581510043,
586558046,578644590,1,0.881416,768.960000,752.003000,26,0,0,0,340.300000,579132043,586382043,
591566043,583611326,1,0.883657,745.120640,752.000500,26,0,0,0,328.711111,584196043,591446043,
596566043,588845885,1,0.768596,772.390080,807.999000,26,0,0,0,345.488889,589260046,596510046,
601566043,593634391,1,0.865707,804.081280,827.999500,25,0,0,0,369.922222,594156043,601406043,
606566043,598851710,1,0.918901,830.681600,816.000000,24,0,0,0,386.044444,599228046,606478046,
611566047,603714043,1,0.943208,831.911680,816.000000,23,0,0,0,393.677778,604300045,611550045,
616574043,608560043,1,0.955770,815.279040,824.000000,25,0,0,0,374.944444,609228047,616478047,
621574043,613556843,1,0.859266,821.519680,811.998500,23,0,0,0,383.188889,614140043,621390043,
626574046,618741735,1,0.817159,825.945600,872.000000,23,0,0,0,369.555556,619220045,626470045,
631582043,624230046,1,0.722804,849.972800,887.998000,24,1,0,1,341.944444,624300043,631550043,
636582045,628563134,1,0.708311,850.922240,752.001000,24,0,0,0,349.455556,629172043,636422043,
641590043,633607045,1,0.767564,796.634240,783.997500,24,0,0,0,336.155556,634236043,641486043,
646590046,638496710,1,0.800993,804.957440,868.003000,24,0,0,0,350.966667,639324043,646574043,
651598047,643820046,1,0.888019,842.245120,856.003000,24,0,0,0,373.188889,644220047,651470047,
656606043,648584123,1,0.891288,811.545600,787.998500,24,0,0,0,382.788889,649332045,656582045,
661606043,654157600,1,0.970715,797.644800,791.998500,24,1,0,1,388.077778,654236043,661486043,
666606043,658910787,1,0.980497,787.039680,780.000500,25,0,0,0,391.744444,659308043,666558043,
671606043,663512859,1,0.977030,776.787520,768.000000,25,0,0,0,390.600000,664196043,671446043,
676606045,668910352,1,0.947781,761.746880,760.000000,26,0,0,0,390.777778,669268043,676518043,
681614043,674157599,1,0.961855,761.043520,756.000500,25,1,1,0,397.522222,674164046,681414046,
686614043,678574192,1,0.965815,752.582400,760.000500,26,0,0,0,406.444444,679236044,686486044,
691614046,683903472,1,0.891261,745.090560,748.000500,26,0,0,0,408.933333,684292045,691542045,
696622044,689005757,1,0.890410,738.139840,732.000500,26,0,0,0,416.155556,689212047,696462047,
701630043,693920976,1,0.696241,681.462400,684.000000,29,0,0,0,415.744444,694300043,701550043,
706630046,699039619,1,0.758048,643.042560,656.002000,30,0,0,0,443.588889,699364045,706614045,
711638043,703654407,1,0.505137,632.259520,748.001500,29,0,0,0,475.200000,704244043,711494043,
716638043,708508713,1,0.454382,680.042880,779.999500,28,0,0,0,483.755556,709332044,716582044,
721638043,713611255,1,0.644790,764.517440,760.000000,26,0,0,0,492.600000,714236043,721486043,
726638043,719299044,1,0.769806,749.008960,748.000500,25,1,0,1,481.866667,719324043,726574043,
731638043,723783757,1,0.829837,733.016320,748.000500,27,0,0,0,454.266667,724196043,731446043,
736638044,728951464,1,0.611419,748.697920,752.000000,26,0,0,0,483.011111,729276043,736526043,
741646043,734264780,1,0.527503,848.000000,884.000500,26,1,0,1,500.377778,734364044,741614044,
746646045,738897294,1,0.662618,892.960320,884.001000,24,0,0,0,505.800000,739252045,746502045,
751654045,744299743,1,0.918171,898.838400,864.000000,22,1,0,1,508.677778,744348046,751598046,
756662046,748638043,1,0.958235,877.082560,855.998500,22,0,0,0,474.155556,749412046,756662046,
761670043,753802332,1,0.907233,851.718080,812.000500,23,0,0,0,464.044444,754324044,761574044,
766670043,759400664,1,0.933937,837.575680,824.004000,23,1,0,1,456.833333,759412047,766662047,
771670043,763614043,1,0.901511,820.524800,807.998000,23,0,0,0,466.811111,764284047,771534047,
776670043,769331376,1,0.894553,837.191360,808.001000,23,1,0,1,483.966667,769364046,776614046,
781670044,773456592,1,0.896816,827.836480,840.001000,23,0,0,0,490.344444,774244046,781494046,
786678043,778667376,1,0.912926,849.782720,831.998000,23,0,0,0,492.311111,779348043,786598043,
791678045,783572543,1,0.936646,840.029120,835.999000,23,0,0,0,487.866667,784420043,791670043,
796686043,788659699,1,0.968064,835.515200,835.999500,23,0,0,0,477.155556,789276043,796526043,
801686043,793631010,1,0.974675,838.590080,840.001000,23,0,0,0,471.211111,794364044,801614044,
806686043,798695284,1,0.966184,830.453440,823.999000,23,0,0,0,459.411111,799436043,806686043,
811686043,803688859,1,0.844833,817.774400,796.001000,24,0,0,0,454.600000,804300043,811550043,
816686043,808982457,1,0.880623,790.862720,787.998500,25,0,0,0,456.522222,809380045,816630045,
821686046,814231862,1,0.876098,767.798400,808.001000,24,1,0,1,461.788889,814252043,821502043,
826686047,819122820,1,0.860615,804.899200,836.001000,24,1,0,1,464.600000,819324043,826574043,
831694043,824164445,1,0.944304,822.014400,812.000500,24,0,0,0,464.000000,824380044,831630044,
836694043,829081014,1,0.910679,814.703680,787.998500,24,0,0,0,481.522222,829444043,836694043,
841694044,833649269,1,0.931111,799.411520,784.000000,24,0,0,0,488.011111,834300043,841550043,
846694044,839332293,1,0.928481,787.195520,772.000500,25,1,0,1,489.533333,839348047,846598047,
851694046,843800932,1,0.929528,780.022080,775.999500,25,0,0,0,487.111111,844396045,851646045,
856702046,849249317,1,0.926161,777.615360,776.001000,25,1,0,1,474.744444,849260043,856510043,
861702046,853953543,1,0.959583,782.501120,784.000000,25,0,0,0,470.533333,854284044,861534044,
866702047,858667910,1,0.953768,790.464000,784.003000,24,0,0,0,465.277778,859364044,866614044,
871710043,864250817,1,0.956552,790.464000,784.003000,24,1,0,1,463.544444,864436043,871686043,
876710044,869023836,1,0.966555,796.633280,807.998000,24,0,0,0,461.244444,869292043,876542043,
