t_us,firmware_t_us,waveform_t_us,final_t_us,timing_shift_ms,no_firmware_match,inserted_by_smoother,timing_recovered,low_prominence_rescue,waveform_score,peak_prominence,peak_polarity,expected_rr_ms,match_distance_ms,recovery_reason,template_version
461516570,461510044,461516570,461516570,6.526000,0,0,0,0,1.000000,92.111111,1,848.000000,6.526000,,v0.4.0-fixed-lag
462409243,462406043,462409243,462409243,3.200000,0,0,0,0,1.000000,320.555556,1,832.000000,3.200000,,v0.4.0-fixed-lag
463275243,463270043,463275243,463275243,5.200000,0,0,0,0,1.000000,321.555556,1,824.000000,5.200000,,v0.4.0-fixed-lag
464141643,0,464141643,464141643,0.000000,1,1,1,0,1.000000,329.555556,1,824.000000,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
465010464,465038044,465010464,465010464,-27.580000,0,0,0,0,1.000000,329.444444,1,832.128000,27.580000,,v0.4.0-fixed-lag
465847821,465846043,465847821,465847821,1.778000,0,0,0,0,1.000000,333.555556,1,832.515360,1.778000,,v0.4.0-fixed-lag
466674044,466670044,466674044,466674044,4.000000,0,0,0,0,1.000000,342.444444,1,826.688000,4.000000,,v0.4.0-fixed-lag
467490934,467486046,467490934,467490934,4.888000,0,0,0,0,1.000000,312.666667,1,826.624000,4.888000,,v0.4.0-fixed-lag
468297243,468294043,468297243,468297243,3.200000,0,0,0,0,1.000000,330.111111,1,821.120000,3.200000,,v0.4.0-fixed-lag
469027306,0,469027306,469027306,0.000000,1,1,1,0,1.000000,313.222222,1,811.097120,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
469759761,469758047,469759761,469759761,1.714000,0,0,0,0,1.000000,341.111111,1,806.514240,1.714000,,v0.4.0-fixed-lag
470506424,470174043,470506424,470506424,332.381000,0,0,1,0,1.000000,343.333333,1,802.951360,332.381000,timing_recovered,v0.4.0-fixed-lag
471304952,471302043,471304952,471304952,2.909000,0,0,0,0,1.000000,357.444444,1,794.524800,2.909000,,v0.4.0-fixed-lag
472089679,0,472089679,472089679,0.000000,1,1,1,0,1.000000,335.333333,1,785.698880,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
472851567,472502043,472851567,472851567,349.524000,0,0,1,0,1.000000,356.444444,1,783.208960,349.524000,timing_recovered,v0.4.0-fixed-lag
473622043,473622043,473622043,473622043,0.000000,0,0,0,0,1.000000,334.222222,1,773.352640,0.000000,,v0.4.0-fixed-lag
474326233,474326043,474326233,474326233,0.190000,0,0,0,0,1.000000,304.777778,1,768.792320,0.190000,,v0.4.0-fixed-lag
475044828,475046045,475044828,475044828,-1.217000,0,0,0,0,1.000000,342.000000,1,760.604160,1.217000,,v0.4.0-fixed-lag
475763186,475758044,475763186,475763186,5.142000,0,0,0,0,1.000000,324.333333,1,755.732160,5.142000,,v0.4.0-fixed-lag
476502044,476502044,476502044,476502044,0.000000,0,0,0,0,1.000000,335.222222,1,750.292160,0.000000,,v0.4.0-fixed-lag
477257695,477254043,477257695,477257695,3.652000,0,0,0,0,1.000000,336.111111,1,744.852160,3.652000,,v0.4.0-fixed-lag
477953347,477950043,477953347,477953347,3.304000,0,0,0,0,1.000000,323.222222,1,747.728320,3.304000,,v0.4.0-fixed-lag
478638565,478638043,478638565,478638565,0.522000,0,0,0,0,1.000000,331.666667,1,736.914560,0.522000,,v0.4.0-fixed-lag
479349175,0,479349175,479349175,0.000000,1,1,1,0,1.000000,342.888889,1,730.430400,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
480080376,480078043,480080376,480080376,2.333000,0,0,0,0,1.000000,330.888889,1,724.914560,2.333000,,v0.4.0-fixed-lag
