t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
483042043,483042043,483042043,0,0
483042043,483042043,503840304,0,1
503840304,503840304,503840304,0,0
483042043,483042043,523954424,0,1
503840304,503840304,523954424,0,1
523954424,523954424,523954424,0,0
483042043,483042043,544120304,0,1
503840304,503840304,544120304,0,1
523954424,523954424,544120304,0,1
544120304,544120304,544120304,0,0
483042043,483042043,564280953,503840304,1
503840304,503840304,564280953,503840304,1
523954424,523954424,564280953,503840304,1
544120304,544120304,564280953,503840304,1
564280953,564280953,564280953,503840304,0
483042043,483042043,584359045,503840304,1
503840304,503840304,584359045,503840304,1
523954424,523954424,584359045,503840304,1
544120304,544120304,584359045,503840304,1
564280953,564280953,584359045,503840304,1
584359045,584359045,584359045,503840304,0
483042043,483042043,604537710,503840304,1
503840304,503840304,604537710,503840304,1
523954424,523954424,604537710,503840304,1
544120304,544120304,604537710,503840304,1
564280953,564280953,604537710,503840304,1
584359045,584359045,604537710,503840304,1
604537710,604537710,604537710,503840304,0
483042043,483042043,625119245,503840304,1
503840304,503840304,625119245,503840304,1
523954424,523954424,625119245,503840304,1
544120304,544120304,625119245,503840304,1
564280953,564280953,625119245,503840304,1
584359045,584359045,625119245,503840304,1
604537710,604537710,625119245,503840304,1
625119245,625119245,625119245,503840304,0
483042043,483042043,645431581,503840304,1
503840304,503840304,645431581,503840304,1
523954424,523954424,645431581,503840304,1
544120304,544120304,645431581,503840304,1
564280953,564280953,645431581,503840304,1
584359045,584359045,645431581,503840304,1
604537710,604537710,645431581,503840304,1
625119245,625119245,645431581,503840304,1
645431581,645431581,645431581,503840304,0
483042043,483042043,665822658,503840304,1
503840304,503840304,665822658,503840304,1
523954424,523954424,665822658,503840304,1
544120304,544120304,665822658,503840304,1
564280953,564280953,665822658,503840304,1
584359045,584359045,665822658,503840304,1
604537710,604537710,665822658,503840304,1
625119245,625119245,665822658,503840304,1
645431581,645431581,665822658,503840304,1
665822658,665822658,665822658,503840304,0
483042043,483042043,686201757,625119245,1
503840304,503840304,686201757,625119245,1
523954424,523954424,686201757,625119245,1
544120304,544120304,686201757,625119245,1
564280953,564280953,686201757,625119245,1
584359045,584359045,686201757,625119245,1
604537710,604537710,686201757,625119245,1
625119245,625119245,686201757,625119245,1
645431581,645431581,686201757,625119245,1
665822658,665822658,686201757,625119245,1
686201757,686201757,686201757,625119245,0
483042043,483042043,706364932,625119245,1
503840304,503840304,706364932,625119245,1
523954424,523954424,706364932,625119245,1
544120304,544120304,706364932,625119245,1
564280953,564280953,706364932,625119245,1
584359045,584359045,706364932,625119245,1
604537710,604537710,706364932,625119245,1
625119245,625119245,706364932,625119245,1
645431581,645431581,706364932,625119245,1
665822658,665822658,706364932,625119245,1
686201757,686201757,706364932,625119245,1
706364932,706364932,706364932,625119245,0
483042043,483042043,726833293,625119245,1
503840304,503840304,726833293,625119245,1
523954424,523954424,726833293,625119245,1
544120304,544120304,726833293,625119245,1
564280953,564280953,726833293,625119245,1
584359045,584359045,726833293,625119245,1
604537710,604537710,726833293,625119245,1
625119245,625119245,726833293,625119245,1
645431581,645431581,726833293,625119245,1
665822658,665822658,726833293,625119245,1
686201757,686201757,726833293,625119245,1
706364932,706364932,726833293,625119245,1
726833293,726833293,726833293,625119245,0
483042043,483042043,746925046,625119245,1
503840304,503840304,746925046,625119245,1
523954424,523954424,746925046,625119245,1
544120304,544120304,746925046,625119245,1
564280953,564280953,746925046,625119245,1
584359045,584359045,746925046,625119245,1
604537710,604537710,746925046,625119245,1
625119245,625119245,746925046,625119245,1
645431581,645431581,746925046,625119245,1
665822658,665822658,746925046,625119245,1
686201757,686201757,746925046,625119245,1
706364932,706364932,746925046,625119245,1
726833293,726833293,746925046,625119245,1
746925046,746925046,746925046,625119245,0
483042043,483042043,766966843,625119245,1
503840304,503840304,766966843,625119245,1
523954424,523954424,766966843,625119245,1
544120304,544120304,766966843,625119245,1
564280953,564280953,766966843,625119245,1
584359045,584359045,766966843,625119245,1
604537710,604537710,766966843,625119245,1
625119245,625119245,766966843,625119245,1
645431581,645431581,766966843,625119245,1
665822658,665822658,766966843,625119245,1
686201757,686201757,766966843,625119245,1
706364932,706364932,766966843,625119245,1
726833293,726833293,766966843,625119245,1
746925046,746925046,766966843,625119245,1
766966843,766966843,766966843,625119245,0
483042043,483042043,786988043,625119245,1
503840304,503840304,786988043,625119245,1
523954424,523954424,786988043,625119245,1
544120304,544120304,786988043,625119245,1
564280953,564280953,786988043,625119245,1
584359045,584359045,786988043,625119245,1
604537710,604537710,786988043,625119245,1
625119245,625119245,786988043,625119245,1
645431581,645431581,786988043,625119245,1
665822658,665822658,786988043,625119245,1
686201757,686201757,786988043,625119245,1
706364932,706364932,786988043,625119245,1
726833293,726833293,786988043,625119245,1
746925046,746925046,786988043,625119245,1
766966843,766966843,786988043,625119245,1
786988043,786988043,786988043,625119245,0
483042043,483042043,807604900,746925046,1
503840304,503840304,807604900,746925046,1
523954424,523954424,807604900,746925046,1
544120304,544120304,807604900,746925046,1
564280953,564280953,807604900,746925046,1
584359045,584359045,807604900,746925046,1
604537710,604537710,807604900,746925046,1
625119245,625119245,807604900,746925046,1
645431581,645431581,807604900,746925046,1
665822658,665822658,807604900,746925046,1
686201757,686201757,807604900,746925046,1
706364932,706364932,807604900,746925046,1
726833293,726833293,807604900,746925046,1
746925046,746925046,807604900,746925046,1
766966843,766966843,807604900,746925046,1
786988043,786988043,807604900,746925046,1
807604900,807604900,807604900,746925046,0
483042043,483042043,828282576,746925046,1
503840304,503840304,828282576,746925046,1
523954424,523954424,828282576,746925046,1
544120304,544120304,828282576,746925046,1
564280953,564280953,828282576,746925046,1
584359045,584359045,828282576,746925046,1
604537710,604537710,828282576,746925046,1
625119245,625119245,828282576,746925046,1
645431581,645431581,828282576,746925046,1
665822658,665822658,828282576,746925046,1
686201757,686201757,828282576,746925046,1
706364932,706364932,828282576,746925046,1
