t_us,sample_drop_count,beat_drop_count,metric_drop_count,sample_queue_depth,sample_queue_high_water
465596252,0,0,0,0,4
470597247,0,0,0,0,4
475597248,0,0,0,0,4
480597251,0,0,0,0,4
485598241,0,0,0,0,4
490598241,0,0,0,0,4
495598241,0,0,0,0,4
500598241,0,0,0,0,4
505598241,0,0,0,0,4
510598241,0,0,0,0,4
515598241,0,0,0,0,4
520598243,0,0,0,0,4
525599660,0,0,0,0,4
530599725,0,0,0,0,4
535600248,0,0,0,0,4
540601247,0,0,0,0,4
545601249,0,0,0,0,4
550602247,0,0,0,0,4
555602248,0,0,0,0,4
560603247,0,0,0,0,4
565603247,0,0,0,0,4
570603247,0,0,0,0,4
575603249,0,0,0,0,4
580603249,0,0,0,0,4
585603249,0,0,0,0,4
590603251,0,0,0,0,4
595604247,0,0,0,0,4
600604247,0,0,0,0,4
605604249,0,0,0,0,4
610604249,0,0,0,0,4
615605247,0,0,0,0,4
620605247,0,0,0,0,4
625605247,0,0,0,0,4
630605248,0,0,0,0,4
635606242,0,0,0,0,4
640606242,0,0,0,0,4
645607667,0,0,0,0,4
650607675,0,0,0,0,4
655607681,0,0,0,0,4
660607683,0,0,0,0,4
665608249,0,0,0,0,4
670609248,0,0,0,0,4
675609249,0,0,0,0,4
680610248,0,0,0,0,4
685611247,0,0,0,0,4
690611247,0,0,0,0,4
695611250,0,0,0,0,4
700612247,0,0,0,0,4
705612248,0,0,0,0,4
710613247,0,0,0,0,4
715613247,0,0,0,0,4
720613247,0,0,0,0,4
725613249,0,0,0,0,4
730614241,0,0,0,0,4
735614241,0,0,0,0,4
740614241,0,0,0,0,4
745614242,0,0,0,0,4
750615661,0,0,0,0,4
755615672,0,0,0,0,4
760615681,0,0,0,0,4
765615682,0,0,0,0,4
770616252,0,0,0,0,4
775617249,0,0,0,0,4
780617249,0,0,0,0,4
785617249,0,0,0,0,4
790618247,0,0,0,0,4
795618249,0,0,0,0,4
800619248,0,0,0,0,4
805620247,0,0,0,0,4
810620247,0,0,0,0,4
815620247,0,0,0,0,4
820620249,0,0,0,0,4
825621247,0,0,0,0,4
830621252,0,0,0,0,4
835622251,0,0,0,0,4
840623661,0,0,0,0,4
845623661,0,0,0,0,4
850623669,0,0,0,0,4
855623672,0,0,0,0,4
860623685,0,0,0,0,4
865624253,0,0,0,0,4
870625248,0,0,0,0,4
875625248,0,0,0,0,4
880625249,0,0,0,0,4
885625250,0,0,0,0,4
890626249,0,0,0,0,4
895626249,0,0,0,0,4
900626249,0,0,0,0,4
905627247,0,0,0,0,4
910627247,0,0,0,0,4
915627247,0,0,0,0,4
920627247,0,0,0,0,4
925627247,0,0,0,0,4
930627247,0,0,0,0,4
935627247,0,0,0,0,4
940627247,0,0,0,0,4
945627251,0,0,0,0,4
950627252,0,0,0,0,4
955627252,0,0,0,0,4
960628249,0,0,0,0,4
965628250,0,0,0,0,4
970629247,0,0,0,0,4
975629249,0,0,0,0,4
980630241,0,0,0,0,4
985630241,0,0,0,0,4
990630241,0,0,0,0,4
995630241,0,0,0,0,4
1000630241,0,0,0,0,4
1005630241,0,0,0,0,4
1010630241,0,0,0,0,4
1015630242,0,0,0,0,4
1020631672,0,0,0,0,4
1025632044,0,0,0,0,4
1030632249,0,0,0,0,4
1035632249,0,0,0,0,4
1040632251,0,0,0,0,4
1045633250,0,0,0,0,4
1050634247,0,0,0,0,4
1055634249,0,0,0,0,4
1060635247,0,0,0,0,4
1065635248,0,0,0,0,4
1070635250,0,0,0,0,4
1075636247,0,0,0,0,4
1080636247,0,0,0,0,4
1085636247,0,0,0,0,4
1090636250,0,0,0,0,4
1095636250,0,0,0,0,4
1100637247,0,0,0,0,4
1105637247,0,0,0,0,4
1110637247,0,0,0,0,4
1115637247,0,0,0,0,4
1120637249,0,0,0,0,4
1125638241,0,0,0,0,4
1130638243,0,0,0,0,4
1135638245,0,0,0,0,4
1140639666,0,0,0,0,4
1145639741,0,0,0,0,4
1150640248,0,0,0,0,4
1155640249,0,0,0,0,4
1160641248,0,0,0,0,4
1165641249,0,0,0,0,4
1170642247,0,0,0,0,4
1175642250,0,0,0,0,4
1180642250,0,0,0,0,4
1185643247,0,0,0,0,4
1190643250,0,0,0,0,4
1195643250,0,0,0,0,4
1200643259,0,0,0,0,4
1205644252,0,0,0,0,4
1210645251,0,0,0,0,4
1215645251,0,0,0,0,4
1220646241,0,0,0,0,4
1225646241,0,0,0,0,4
1230646241,0,0,0,0,4
1235646243,0,0,0,0,4
1240647674,0,0,0,0,4
1245647681,0,0,0,0,4
1250648249,0,0,0,0,4
