t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
480622044,28.15,60,0.0,1
500622044,28.15,60,0.0,1
520630047,28.15,60,0.0,1
540638043,28.15,60,0.0,1
560638043,28.15,60,0.0,1
580638045,28.15,60,0.0,1
600646043,28.15,60,0.0,1
620646043,28.15,60,0.0,1
640646043,28.15,60,0.0,1
660646043,28.15,60,0.0,1
680646046,28.15,60,0.0,1
700654046,28.15,60,0.0,1
720662045,28.15,60,0.0,1
740670043,28.15,60,0.0,1
760670043,28.15,60,0.0,1
780670045,28.15,60,0.0,1
800678044,28.15,60,0.0,1
820678046,28.15,60,0.0,1
840686047,28.15,60,0.0,1
860694043,28.15,60,0.0,1
880694043,28.15,60,0.0,1
900694045,28.15,60,0.0,1
920694046,28.15,60,0.0,1
940702045,28.15,60,0.0,1
960710043,28.15,60,0.0,1
980710043,28.15,60,0.0,1
1000710043,28.15,60,0.0,1
1020710043,28.15,60,0.0,1
1040710043,28.15,60,0.0,1
1060710045,28.15,60,0.0,1
1080710047,28.15,60,0.0,1
1100718043,28.15,60,0.0,1
1120718043,28.15,60,0.0,1
1140718043,28.15,60,0.0,1
1160718043,28.15,60,0.0,1
1180718043,28.15,60,0.0,1
1200718047,28.15,60,0.0,1
1220726044,28.15,60,0.0,1
1240734044,28.15,60,0.0,1
1260734046,28.15,60,0.0,1
1280742045,28.15,60,0.0,1
1300750043,28.15,60,0.0,1
1320750043,28.15,60,0.0,1
1340750044,46.82,60,0.0,1
1360758045,45.88,60,0.0,1
1380758046,47.12,60,0.0,1
1400766043,49.08,60,0.0,1
1420766043,33.64,60,0.0,1
1440766043,35.44,60,0.0,1
1460766043,36.34,60,0.0,1
1480766043,51.48,60,0.0,1
1500766044,54.16,60,0.0,1
1520766044,56.44,60,0.0,1
1540774043,44.43,60,0.0,1
1560774043,40.14,60,0.0,1
1580774043,44.29,60,0.0,1
1600774043,47.8,60,0.0,1
1620774043,44.11,60,0.0,1
1640774043,42.76,60,0.0,1
1660774046,34.47,60,0.0,1
1680774046,35.01,60,0.0,1
1700782045,32.26,60,0.0,1
