t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count
461470043,461470043,461470043,1,421.000000,421.000000,421.000000,421.000000,421.000000,387.000000,387.000000,387.000000,181.000000,181.000000,181.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,0,0.833000,795.200000,77.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0
466470046,461478045,466470046,625,52.000000,65.200000,123.000000,412.000000,431.000000,68.000000,124.000000,397.600000,-107.000000,-47.000000,212.000000,106.214148,345.000000,0.000000,0.000000,1.000000,0,0.000000,14,0.522000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,0.000000,0.000000,1,0,0,0,0
471478045,466486045,471478045,625,46.000000,60.000000,130.000000,413.600000,445.000000,61.200000,135.000000,395.000000,-111.000000,-40.000000,212.000000,110.231500,364.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.520000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,824.000000,0.870854,1,13,1,1,0
476486043,471486043,476486043,626,52.000000,60.000000,112.500000,417.750000,447.000000,64.000000,116.000000,397.000000,-106.000000,-57.000000,212.750000,109.307033,358.000000,0.000000,0.000000,1.000000,0,0.000000,22,0.503000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,811.097120,0.843503,1,19,1,1,0
481486043,476486043,481486043,626,54.000000,67.000000,117.500000,408.750000,432.000000,67.000000,122.500000,392.500000,-105.000000,-51.500000,209.750000,105.968322,338.000000,0.000000,0.000000,1.000000,0,0.000000,27,0.506500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,768.792320,0.835929,1,25,0,0,0
486486043,481486043,486486043,626,43.000000,64.250000,123.000000,406.000000,429.000000,66.250000,128.000000,386.000000,-109.750000,-48.000000,199.000000,105.048391,346.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.519000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,730.430400,0.906055,1,26,0,0,0
491486045,486494043,491486045,625,50.000000,58.000000,112.000000,410.600000,432.000000,60.000000,118.000000,394.800000,-109.000000,-53.000000,211.000000,109.411174,343.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.507000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,729.024320,0.931480,1,27,0,0,0
496494043,491494047,496494043,626,45.000000,62.000000,116.500000,425.000000,455.000000,64.000000,120.500000,408.500000,-109.750000,-51.000000,223.500000,115.444192,369.000000,0.000000,0.000000,1.000000,0,0.000000,21,0.512000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,732.216000,0.884356,1,27,0,0,0
501494046,496502043,501494046,625,55.000000,66.400000,120.000000,429.000000,456.000000,69.200000,124.000000,412.000000,-107.000000,-50.000000,223.000000,112.015183,366.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.502000,795.200000,77.300000,0.000000,125.000000,0.003000,0.999775,1.000000,0.000000,0.000000,0.000000,0,0,0,4,761.285760,0.845119,1,26,0,0,0
506502045,501502045,506502045,626,44.000000,61.000000,125.500000,414.500000,451.000000,64.000000,129.000000,396.500000,-110.000000,-47.000000,210.000000,105.116936,366.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.493000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,800.719360,0.907545,1,25,0,0,0
511510045,506518043,511510045,625,53.000000,64.000000,121.000000,407.800000,429.000000,67.000000,126.000000,387.800000,-108.000000,-50.000000,202.800000,105.405685,330.000000,0.000000,0.000000,1.000000,0,0.000000,22,0.521000,795.200000,77.300000,0.000000,125.000000,0.003000,0.999775,1.000000,0.000000,0.000000,0.000000,0,0,0,4,807.680320,0.875575,1,25,0,0,0
516518043,511518043,516518043,626,49.000000,62.000000,123.000000,401.750000,434.000000,62.500000,127.000000,385.750000,-109.750000,-50.000000,199.750000,104.796625,347.000000,0.000000,0.000000,1.000000,0,0.000000,24,0.521000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,763.099520,0.853083,1,26,0,0,0
521518043,516518043,521518043,626,36.000000,60.500000,127.000000,410.000000,446.000000,63.000000,132.000000,393.750000,-117.000000,-47.000000,203.000000,103.452065,366.000000,0.000000,0.000000,1.000000,0,0.000000,24,0.509500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,746.779520,0.829643,1,26,1,0,1
526518045,521526043,526518045,625,33.000000,56.200000,124.000000,420.800000,449.000000,58.200000,124.000000,402.800000,-110.800000,-45.000000,220.000000,110.082003,376.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.494000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,758.371840,0.838951,1,26,0,0,0
531526043,526526043,531526043,626,53.000000,67.000000,122.000000,422.000000,440.000000,67.000000,125.000000,406.250000,-108.000000,-49.000000,218.750000,108.959557,354.000000,0.000000,0.000000,1.000000,0,0.000000,22,0.509500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,777.124160,0.837118,1,25,1,0,1
536526043,531526043,536526043,626,60.000000,70.250000,124.000000,425.000000,453.000000,72.000000,124.000000,408.000000,-104.000000,-49.000000,220.750000,107.083512,350.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.506000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,810.426560,0.833359,1,24,0,0,0
541526046,536534043,541526046,625,0.000000,47.200000,133.000000,414.000000,471.000000,51.000000,138.000000,397.800000,-120.000000,-38.000000,209.800000,110.091424,442.000000,0.041600,0.000000,1.000000,0,0.000000,22,0.525000,795.200000,77.300000,0.000000,125.000000,0.004000,0.906100,1.000000,0.041600,0.000000,0.000000,0,0,0,4,829.119680,0.840122,1,24,0,0,0
546534043,541534047,546534043,626,46.000000,62.250000,123.000000,420.000000,455.000000,64.000000,127.500000,404.750000,-107.750000,-46.000000,220.750000,112.133027,363.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.499000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,824.822720,0.828785,1,25,1,1,0
551534045,546542044,551534045,625,47.000000,55.000000,113.000000,434.800000,468.000000,57.000000,116.000000,415.000000,-116.000000,-59.000000,228.000000,116.653657,386.000000,0.000000,0.000000,1.000000,0,0.000000,14,0.516000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,782.040960,0.802342,1,25,1,0,1
556542045,551550043,556542045,625,28.000000,59.000000,127.000000,428.000000,468.000000,60.000000,131.000000,410.800000,-115.000000,-47.000000,221.800000,114.513922,393.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.509000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,760.162240,0.853138,1,26,0,0,0
561550043,556550045,561550043,626,36.000000,54.250000,117.000000,432.000000,463.000000,56.250000,119.000000,414.750000,-115.000000,-54.000000,228.000000,113.769871,386.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.498000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,782.121280,0.905899,1,25,1,0,1
566550043,561550043,566550043,626,48.000000,60.000000,123.000000,431.000000,476.000000,63.250000,126.000000,414.000000,-112.750000,-51.500000,225.000000,115.297604,386.000000,0.000000,0.000000,1.000000,0,0.000000,26,0.498000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,783.000960,0.925906,1,25,0,0,0
571550043,566550043,571550043,626,31.000000,45.000000,112.000000,428.000000,466.000000,46.500000,117.000000,407.750000,-125.000000,-60.500000,220.000000,115.976155,394.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.529500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,771.897600,0.903130,1,25,1,0,1
576550044,571558043,576550044,625,32.000000,43.000000,121.000000,444.800000,481.000000,45.000000,124.000000,428.800000,-127.800000,-49.000000,244.000000,126.944598,410.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.511000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,759.509760,0.908623,1,25,0,0,0
