host_read_start_ns,host_read_end_ns,read_duration_ms,bytes_read,decoded_message_count,sample_count,first_sample_seq,last_sample_seq,first_sample_t_us,last_sample_t_us,serial_in_waiting,protocol_ok_frames,crc_errors,format_errors,resync_count,sample_seq_gaps
73487171000000,73487734000000,563.0,4096,70,69,57616,57684,461470043,462014045,54,70,0,0,0,0
73487734000000,73488281000000,547.0,4096,70,69,57685,57753,462022044,462566046,108,140,0,0,0,0
73488296000000,73488843000000,547.0,4096,71,71,57754,57824,462574043,463134043,90,211,0,0,0,0
73488859000000,73489406000000,547.0,4096,70,69,57825,57893,463142044,463686046,33,281,0,0,0,0
73489406000000,73489953000000,547.0,4096,70,69,57894,57962,463694043,464238043,134,351,0,0,0,0
73489968000000,73490515000000,547.0,4096,71,71,57963,58033,464246043,464806045,154,422,0,0,0,0
73490531000000,73491078000000,547.0,4096,70,69,58034,58102,464814043,465358043,40,492,0,0,0,0
73491078000000,73491625000000,547.0,4096,71,69,58103,58171,465366045,465910043,74,563,0,0,0,0
73491640000000,73492187000000,547.0,4096,70,70,58172,58241,465918043,466470046,133,633,0,0,0,0
73492203000000,73492734000000,531.0,4096,71,70,58242,58311,466478043,467030046,32,704,0,0,0,0
73492750000000,73493296000000,546.0,4096,70,69,58312,58380,467038043,467582043,79,774,0,0,0,0
73493312000000,73493859000000,547.0,4096,71,70,58381,58450,467590044,468142043,122,845,0,0,0,0
73493875000000,73494421000000,546.0,4096,70,70,58451,58520,468150046,468702043,76,915,0,0,0,0
73494437000000,73494984000000,547.0,4096,71,70,58521,58590,468710046,469262043,109,986,0,0,0,0
73495000000000,73495531000000,531.0,4096,70,69,58591,58659,469270046,469814043,66,1056,0,0,0,0
73495546000000,73496093000000,547.0,4096,71,71,58660,58730,469822044,470382046,168,1127,0,0,0,0
73496109000000,73496656000000,547.0,4096,71,69,58731,58799,470390045,470934046,93,1198,0,0,0,0
73496656000000,73497203000000,547.0,4096,70,69,58800,58868,470942043,471486043,187,1268,0,0,0,0
73497234000000,73497765000000,531.0,4096,71,71,58869,58939,471494044,472054045,173,1339,0,0,0,0
73497781000000,73498328000000,547.0,4096,71,70,58940,59009,472062046,472614046,108,1410,0,0,0,0
73498343000000,73498875000000,532.0,4096,70,69,59010,59078,472622045,473166043,85,1480,0,0,0,0
73498890000000,73499437000000,547.0,4096,71,70,59079,59148,473174046,473726043,169,1551,0,0,0,0
73499468000000,73500000000000,532.0,4096,70,70,59149,59218,473734043,474286043,82,1621,0,0,0,0
73500015000000,73500562000000,547.0,4096,71,70,59219,59288,474294043,474846044,92,1692,0,0,0,0
73500578000000,73501125000000,547.0,4096,70,69,59289,59357,474854046,475398047,104,1762,0,0,0,0
73501125000000,73501671000000,546.0,4096,71,69,59358,59426,475406043,475950043,136,1833,0,0,0,0
73501687000000,73502234000000,547.0,4096,71,71,59427,59497,475958043,476518043,100,1904,0,0,0,0
73502250000000,73502796000000,546.0,4096,71,70,59498,59567,476526043,477078044,95,1975,0,0,0,0
73502812000000,73503343000000,531.0,4096,70,69,59568,59636,477086043,477630046,132,2045,0,0,0,0
73503359000000,73503906000000,547.0,4096,70,70,59637,59706,477638044,478190043,94,2115,0,0,0,0
73503921000000,73504468000000,547.0,4096,71,70,59707,59776,478198043,478750043,72,2186,0,0,0,0
73504484000000,73505031000000,547.0,4096,71,70,59777,59846,478758043,479310043,176,2257,0,0,0,0
73505046000000,73505593000000,547.0,4096,71,71,59847,59917,479318044,479878045,199,2328,0,0,0,0
73505625000000,73506140000000,515.0,4096,70,69,59918,59986,479886043,480430043,126,2398,0,0,0,0
73506156000000,73506687000000,531.0,4096,71,68,59987,60054,480438043,480974043,97,2469,0,0,0,0
73506703000000,73507265000000,562.0,4096,71,71,60055,60125,480982046,481542045,236,2540,0,0,0,0
73507281000000,73507812000000,531.0,4096,70,69,60126,60194,481550046,482094043,125,2610,0,0,0,0
73507828000000,73508375000000,547.0,4096,71,70,60195,60264,482102046,482654044,165,2681,0,0,0,0
73508390000000,73508921000000,531.0,4096,70,69,60265,60333,482662044,483206043,185,2751,0,0,0,0
73508953000000,73509484000000,531.0,4096,71,71,60334,60404,483214043,483774044,100,2822,0,0,0,0
73509500000000,73510046000000,546.0,4096,71,70,60405,60474,483782043,484334043,142,2893,0,0,0,0
73510062000000,73510609000000,547.0,4096,70,69,60475,60543,484342047,484886047,179,2963,0,0,0,0
73510625000000,73511171000000,546.0,4096,70,70,60544,60613,484894043,485446046,108,3033,0,0,0,0
73511187000000,73511718000000,531.0,4096,71,69,60614,60682,485454043,485998043,143,3104,0,0,0,0
73511734000000,73512281000000,547.0,4096,71,70,60683,60752,486006044,486558043,262,3175,0,0,0,0
73512312000000,73512843000000,531.0,4096,70,70,60753,60822,486566043,487118043,129,3245,0,0,0,0
73512859000000,73513390000000,531.0,4096,71,70,60823,60892,487126043,487678043,122,3316,0,0,0,0
73513406000000,73513953000000,547.0,4096,70,69,60893,60961,487686043,488230043,110,3386,0,0,0,0
73513968000000,73514515000000,547.0,4096,71,70,60962,61031,488238044,488790046,138,3457,0,0,0,0
73514531000000,73515078000000,547.0,4096,71,71,61032,61102,488798043,489358045,165,3528,0,0,0,0
73515093000000,73515625000000,532.0,4096,70,69,61103,61171,489366046,489910043,113,3598,0,0,0,0
73515640000000,73516187000000,547.0,4096,71,70,61172,61241,489918043,490470047,323,3669,0,0,0,0
73516218000000,73516734000000,516.0,4096,70,69,61242,61310,490478043,491022043,402,3739,0,0,0,0
73516796000000,73517296000000,500.0,4096,71,70,61311,61380,491030043,491582043,214,3810,0,0,0,0
73517328000000,73517859000000,531.0,4096,71,70,61381,61450,491590043,492142043,127,3881,0,0,0,0
73517875000000,73518406000000,531.0,4096,70,69,61451,61519,492150045,492694046,125,3951,0,0,0,0
73518437000000,73518984000000,547.0,4096,71,71,61520,61590,492702045,493262043,257,4022,0,0,0,0
73519015000000,73519531000000,516.0,4096,71,70,61591,61660,493270043,493822043,261,4093,0,0,0,0
73519578000000,73520093000000,515.0,4096,70,69,61661,61729,493830043,494374043,78,4163,0,0,0,0
73520109000000,73520656000000,547.0,4096,70,70,61730,61799,494382044,494934043,135,4233,0,0,0,0
73520671000000,73521203000000,532.0,4096,71,70,61800,61869,494942043,495494043,180,4304,0,0,0,0
73521234000000,73521765000000,531.0,4096,71,69,61870,61938,495502043,496046047,209,4375,0,0,0,0
73521796000000,73522328000000,532.0,4096,70,70,61939,62008,496054045,496606043,165,4445,0,0,0,0
73522343000000,73522875000000,532.0,4096,71,70,62009,62078,496614046,497166044,262,4516,0,0,0,0
73522921000000,73523437000000,516.0,4096,70,69,62079,62147,497174045,497718045,201,4586,0,0,0,0
73523468000000,73523984000000,516.0,4096,70,69,62148,62216,497726043,498270043,162,4656,0,0,0,0
73524015000000,73524546000000,531.0,4096,71,71,62217,62287,498278046,498838043,138,4727,0,0,0,0
73524578000000,73525109000000,531.0,4096,70,69,62288,62356,498846043,499390043,227,4797,0,0,0,0
73525140000000,73525656000000,516.0,4096,70,69,62357,62425,499398044,499942046,218,4867,0,0,0,0
73525687000000,73526218000000,531.0,4096,71,71,62426,62496,499950043,500510043,182,4938,0,0,0,0
73526250000000,73526765000000,515.0,4096,72,69,62497,62565,500518045,501062045,90,5010,0,0,0,0
73526781000000,73527328000000,547.0,4096,70,69,62566,62634,501070043,501614044,164,5080,0,0,0,0
73527343000000,73527890000000,547.0,4096,70,70,62635,62704,501622043,502174043,132,5150,0,0,0,0
73527906000000,73528453000000,547.0,4096,71,70,62705,62774,502182043,502734047,169,5221,0,0,0,0
73528468000000,73529000000000,532.0,4096,70,69,62775,62843,502742046,503286046,141,5291,0,0,0,0
73529015000000,73529562000000,547.0,4096,70,70,62844,62913,503294044,503846043,132,5361,0,0,0,0
73529578000000,73530125000000,547.0,4096,71,70,62914,62983,503854043,504406043,200,5432,0,0,0,0
73530156000000,73530671000000,515.0,4096,70,69,62984,63052,504414043,504958043,101,5502,0,0,0,0
73530687000000,73531234000000,547.0,4096,70,69,63053,63121,504966043,505510043,105,5572,0,0,0,0
73531250000000,73531781000000,531.0,4096,71,70,63122,63191,505518043,506070047,177,5643,0,0,0,0
73531812000000,73532343000000,531.0,4096,70,69,63192,63260,506078043,506622046,126,5713,0,0,0,0
73532359000000,73532890000000,531.0,4096,71,70,63261,63330,506630043,507182045,258,5784,0,0,0,0
73532937000000,73533453000000,516.0,4096,70,70,63331,63400,507190043,507742043,173,5854,0,0,0,0
73533468000000,73534015000000,547.0,4096,70,69,63401,63469,507750045,508294043,98,5924,0,0,0,0
73534031000000,73534578000000,547.0,4096,71,70,63470,63539,508302043,508854045,139,5995,0,0,0,0
73534593000000,73535125000000,532.0,4096,71,70,63540,63609,508862043,509414043,111,6066,0,0,0,0
73535140000000,73535687000000,547.0,4096,70,70,63610,63679,509422043,509974043,191,6136,0,0,0,0
73535718000000,73536250000000,532.0,4096,71,70,63680,63749,509982043,510534043,195,6207,0,0,0,0
73536281000000,73536796000000,515.0,4096,71,69,63750,63818,510542043,511086043,241,6278,0,0,0,0
73536828000000,73537359000000,531.0,4096,70,70,63819,63888,511094043,511646044,762,6348,0,0,0,0
73537468000000,73537921000000,453.0,4096,70,69,63889,63957,511654043,512198043,100,6418,0,0,0,0
73537937000000,73538484000000,547.0,4096,71,70,63958,64027,512206043,512758043,203,6489,0,0,0,0
73538500000000,73539031000000,531.0,4096,70,70,64028,64097,512766043,513318043,120,6559,0,0,0,0
73539062000000,73539593000000,531.0,4096,71,70,64098,64167,513326043,513878047,142,6630,0,0,0,0
73539609000000,73540156000000,547.0,4096,70,69,64168,64236,513886043,514430043,121,6700,0,0,0,0
73540171000000,73540703000000,532.0,4096,71,70,64237,64306,514438045,514990043,124,6771,0,0,0,0
73540718000000,73541265000000,547.0,4096,70,70,64307,64376,514998043,515550044,181,6841,0,0,0,0
73541296000000,73541828000000,532.0,4096,72,70,64377,64446,515558044,516110044,138,6913,0,0,0,0
73541843000000,73542375000000,532.0,4096,70,69,64447,64515,516118047,516662045,189,6983,0,0,0,0
73542406000000,73542937000000,531.0,4096,70,70,64516,64585,516670043,517222043,126,7053,0,0,0,0
73542953000000,73543500000000,547.0,4096,71,70,64586,64655,517230043,517782043,128,7124,0,0,0,0
73543515000000,73544046000000,531.0,4096,70,69,64656,64724,517790044,518334043,117,7194,0,0,0,0
73544062000000,73544609000000,547.0,4096,71,70,64725,64794,518342046,518894044,96,7265,0,0,0,0
73544625000000,73545171000000,546.0,4096,69,69,64795,64863,518902043,519446043,119,7334,0,0,0,0
73545187000000,73545718000000,531.0,4096,71,70,64864,64933,519454043,520006044,130,7405,0,0,0,0
73545734000000,73546281000000,547.0,4096,70,69,64934,65002,520014043,520558043,105,7475,0,0,0,0
73546296000000,73546828000000,532.0,4096,71,69,65003,65071,520566046,521110043,128,7546,0,0,0,0
73546843000000,73547390000000,547.0,4096,71,70,65072,65141,521118045,521670043,139,7617,0,0,0,0
73547406000000,73547953000000,547.0,4096,71,70,65142,65211,521678043,522230043,144,7688,0,0,0,0
73547968000000,73548500000000,532.0,4096,70,70,65212,65281,522238045,522790043,84,7758,0,0,0,0
73548515000000,73549062000000,547.0,4096,70,69,65282,65350,522798045,523342044,139,7828,0,0,0,0
73549078000000,73549625000000,547.0,4096,71,70,65351,65420,523350043,523902043,122,7899,0,0,0,0
73549640000000,73550171000000,531.0,4096,71,70,65421,65490,523910043,524462043,194,7970,0,0,0,0
73550203000000,73550734000000,531.0,4096,69,69,65491,65559,524470043,525014043,270,8039,0,0,0,0
73550765000000,73551296000000,531.0,4096,71,70,65560,65629,525022043,525574043,211,8110,0,0,0,0
73551312000000,73551843000000,531.0,4096,71,69,65630,65698,525582043,526126046,132,8181,0,0,0,0
73551859000000,73552406000000,547.0,4096,70,70,65699,65768,526134045,526686043,87,8251,0,0,0,0
73552421000000,73552968000000,547.0,4096,71,70,65769,65838,526694043,527246043,230,8322,0,0,0,0
73553000000000,73553515000000,515.0,4096,70,69,65839,65907,527254043,527798043,125,8392,0,0,0,0
73553531000000,73554078000000,547.0,4096,70,70,65908,65977,527806043,528358043,120,8462,0,0,0,0
73554093000000,73554640000000,547.0,4096,71,70,65978,66047,528366046,528918043,277,8533,0,0,0,0
73554671000000,73555187000000,516.0,4096,70,69,66048,66116,528926045,529470046,211,8603,0,0,0,0
73555218000000,73555750000000,532.0,4096,71,70,66117,66186,529478043,530030043,213,8674,0,0,0,0
73555781000000,73556312000000,531.0,4096,70,70,66187,66256,530038043,530590043,154,8744,0,0,0,0
73556328000000,73556859000000,531.0,4096,71,69,66257,66325,530598043,531142048,205,8815,0,0,0,0
73556890000000,73557406000000,516.0,4096,70,69,66326,66394,531150043,531694043,757,8885,0,0,0,0
73557515000000,73557968000000,453.0,4096,71,71,66395,66465,531702043,532262043,150,8956,0,0,0,0
73558000000000,73558531000000,531.0,4096,70,69,66466,66534,532270043,532814046,134,9026,0,0,0,0
73558546000000,73559078000000,532.0,4096,70,69,66535,66603,532822043,533366044,109,9096,0,0,0,0
73559093000000,73559656000000,563.0,4096,71,71,66604,66674,533374044,533934043,146,9167,0,0,0,0
73559671000000,73560203000000,532.0,4096,70,69,66675,66743,533942045,534486043,135,9237,0,0,0,0
73560218000000,73560750000000,532.0,4096,70,69,66744,66812,534494043,535038045,256,9307,0,0,0,0
73560796000000,73561312000000,516.0,4096,71,70,66813,66882,535046043,535598045,112,9378,0,0,0,0
73561328000000,73561875000000,547.0,4096,71,70,66883,66952,535606043,536158046,130,9449,0,0,0,0
73561890000000,73562421000000,531.0,4096,70,69,66953,67021,536166044,536710043,156,9519,0,0,0,0
73562453000000,73562984000000,531.0,4096,70,70,67022,67091,536718043,537270043,129,9589,0,0,0,0
73563000000000,73563546000000,546.0,4096,71,70,67092,67161,537278043,537830045,140,9660,0,0,0,0
73563562000000,73564093000000,531.0,4096,70,69,67162,67230,537838043,538382043,130,9730,0,0,0,0
73564125000000,73564656000000,531.0,4096,70,69,67231,67299,538390044,538934043,138,9800,0,0,0,0
73564671000000,73565218000000,547.0,4096,70,70,67300,67369,538942046,539494044,121,9870,0,0,0,0
73565234000000,73565781000000,547.0,4096,71,70,67370,67439,539502047,540054043,152,9941,0,0,0,0
73565796000000,73566328000000,532.0,4096,71,69,67440,67508,540062043,540606043,156,10012,0,0,0,0
73566343000000,73566875000000,532.0,4096,71,69,67509,67577,540614043,541158044,194,10083,0,0,0,0
73566906000000,73567437000000,531.0,4096,70,70,67578,67647,541166043,541718043,166,10153,0,0,0,0
73567453000000,73568000000000,547.0,4096,71,70,67648,67717,541726043,542278043,131,10224,0,0,0,0
73568015000000,73568546000000,531.0,4096,70,69,67718,67786,542286046,542830043,126,10294,0,0,0,0
73568562000000,73569109000000,547.0,4096,71,71,67787,67857,542838043,543398043,172,10365,0,0,0,0
73569140000000,73569671000000,531.0,4096,70,69,67858,67926,543406043,543950043,245,10435,0,0,0,0
73569703000000,73570218000000,515.0,4096,71,70,67927,67996,543958043,544510043,102,10506,0,0,0,0
73570234000000,73570781000000,547.0,4096,70,70,67997,68066,544518046,545070043,126,10576,0,0,0,0
73570812000000,73571343000000,531.0,4096,71,69,68067,68135,545078043,545622045,165,10647,0,0,0,0
73571359000000,73571890000000,531.0,4096,71,70,68136,68205,545630043,546182043,239,10718,0,0,0,0
73571937000000,73572453000000,516.0,4096,70,69,68206,68274,546190045,546734043,130,10788,0,0,0,0
73572468000000,73573015000000,547.0,4096,71,71,68275,68345,546742043,547302047,233,10859,0,0,0,0
73573046000000,73573578000000,532.0,4096,70,69,68346,68414,547310043,547854043,171,10929,0,0,0,0
73573593000000,73574125000000,532.0,4096,71,70,68415,68484,547862043,548414046,148,11000,0,0,0,0
73574156000000,73574687000000,531.0,4096,70,70,68485,68554,548422045,548974043,129,11070,0,0,0,0
73574718000000,73575250000000,532.0,4096,70,69,68555,68623,548982045,549526044,94,11140,0,0,0,0
73575265000000,73575812000000,547.0,4096,71,71,68624,68694,549534043,550094043,169,11211,0,0,0,0
73575828000000,73576359000000,531.0,4096,71,69,68695,68763,550102043,550646043,128,11282,0,0,0,0
73576375000000,73576921000000,546.0,4096,70,69,68764,68832,550654043,551198043,138,11352,0,0,0,0
73576937000000,73577468000000,531.0,4096,71,70,68833,68902,551206043,551758043,781,11423,0,0,0,0
73577578000000,73578031000000,453.0,4096,70,69,68903,68971,551766044,552310043,157,11493,0,0,0,0
73578046000000,73578593000000,547.0,4096,70,70,68972,69041,552318043,552870044,139,11563,0,0,0,0
73578609000000,73579140000000,531.0,4096,71,70,69042,69111,552878043,553430043,130,11634,0,0,0,0
73579171000000,73579703000000,532.0,4096,71,70,69112,69181,553438043,553990043,113,11705,0,0,0,0
73579718000000,73580265000000,547.0,4096,70,70,69182,69251,553998043,554550043,245,11775,0,0,0,0
73580296000000,73580828000000,532.0,4096,70,69,69252,69320,554558044,555102043,165,11845,0,0,0,0
73580843000000,73581375000000,532.0,4096,71,69,69321,69389,555110047,555654044,135,11916,0,0,0,0
73581390000000,73581937000000,547.0,4096,71,71,69390,69460,555662043,556222043,134,11987,0,0,0,0
73581953000000,73582500000000,547.0,4096,70,69,69461,69529,556230045,556774045,189,12057,0,0,0,0
73582515000000,73583046000000,531.0,4096,71,70,69530,69599,556782043,557334044,144,12128,0,0,0,0
73583062000000,73583609000000,547.0,4096,70,70,69600,69669,557342046,557894045,145,12198,0,0,0,0
73583640000000,73584171000000,531.0,4096,71,70,69670,69739,557902043,558454045,277,12269,0,0,0,0
73584203000000,73584718000000,515.0,4096,70,69,69740,69808,558462043,559006043,218,12339,0,0,0,0
73584750000000,73585281000000,531.0,4096,70,69,69809,69877,559014045,559558047,153,12409,0,0,0,0
73585296000000,73585843000000,547.0,4096,71,71,69878,69948,559566044,560126043,251,12480,0,0,0,0
73585875000000,73586390000000,515.0,4096,71,68,69949,70016,560134043,560670044,132,12551,0,0,0,0
73586406000000,73586937000000,531.0,4096,70,69,70017,70085,560678043,561222046,239,12621,0,0,0,0
73586984000000,73587500000000,516.0,4096,71,71,70086,70156,561230043,561790043,214,12692,0,0,0,0
73587531000000,73588062000000,531.0,4096,70,69,70157,70225,561798047,562342046,252,12762,0,0,0,0
73588093000000,73588625000000,532.0,4096,71,70,70226,70295,562350045,562902043,114,12833,0,0,0,0
73588625000000,73589187000000,562.0,4096,70,70,70296,70365,562910043,563462046,294,12903,0,0,0,0
73589218000000,73589734000000,516.0,4096,71,70,70366,70435,563470043,564022047,155,12974,0,0,0,0
73589765000000,73590296000000,531.0,4096,70,69,70436,70504,564030045,564574043,90,13044,0,0,0,0
73590296000000,73590843000000,547.0,4096,71,70,70505,70574,564582046,565134043,164,13115,0,0,0,0
73590875000000,73591406000000,531.0,4096,71,70,70575,70644,565142045,565694043,226,13186,0,0,0,0
73591437000000,73591968000000,531.0,4096,70,69,70645,70713,565702045,566246043,100,13256,0,0,0,0
73591984000000,73592515000000,531.0,4096,71,70,70714,70783,566254047,566806043,200,13327,0,0,0,0
73592546000000,73593078000000,532.0,4096,70,70,70784,70853,566814046,567366043,157,13397,0,0,0,0
