t_us,quality_multiplier,primary_code,primary_score,score_INWARD_QUIET,score_RESONANCE_0P1,score_PHASED_VIPASSANA,score_TRAINED_VIPASSANA_SHIFT,score_AROUSAL_MEDITATION,score_SLOW_RECOVERY_VLF,elapsed_minutes
483042043,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,0.0
503840304,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.0,0.0,0.08101435406698566,0.34,0.34663768333333334
523954424,0.68,STABLE_NEUTRAL,0.238,0.08499417564811337,0.0,0.0,0.0,0.19040000000000004,0.238,0.6818730166666667
544120304,0.68,STABLE_NEUTRAL,0.238,0.11369434609672152,0.0,0.0,0.0,0.19040000000000004,0.238,1.0179710166666667
564280953,0.68,STABLE_NEUTRAL,0.33062057458505756,0.12927740992672135,0.0,0.0,0.0,0.15411704797991518,0.33062057458505756,1.3539818333333333
584359045,0.68,STABLE_NEUTRAL,0.238,0.05820024755687119,0.0,0.0,0.0,0.19040000000000004,0.238,1.6886167
604537710,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.0,0.0,0.13786232601775544,0.34,2.0249277833333332
625119245,0.68,STABLE_NEUTRAL,0.238,0.2291133059837727,0.0,0.0,0.0,0.0,0.238,2.367953366666667
645431581,0.68,STABLE_NEUTRAL,0.26544217241532625,0.11408660040369552,0.0,0.0,0.0,0.006653877342696062,0.26544217241532625,2.7064923
665822658,0.68,STABLE_NEUTRAL,0.3264,0.0,0.0,0.0,0.0,0.3264,0.240045652129773,3.0463435833333334
686201757,0.68,STABLE_NEUTRAL,0.3264,0.0,0.0,0.0,0.0,0.3264,0.238,3.3859952333333334
706364932,0.68,STABLE_NEUTRAL,0.3264,0.0,0.0,0.0,0.0,0.3264,0.238,3.72204815
726833293,0.68,STABLE_NEUTRAL,0.238,0.1768,0.0,0.0,0.0,0.19040000000000004,0.238,4.0631875
746925046,0.68,STABLE_NEUTRAL,0.31113981347729847,0.31113981347729847,0.0,0.0,0.0,0.0,0.2497919623129967,4.39805005
766966843,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,4.73208
786988043,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,5.065766666666667
807604900,0.68,STABLE_NEUTRAL,0.31589366658968765,0.0,0.31589366658968765,0.0,0.0,0.2539681436038014,0.2582395009610864,5.40938095
828282576,0.68,STABLE_NEUTRAL,0.358347519628932,0.0,0.31589366658968765,0.0,0.0,0.358347519628932,0.17762522621941074,5.754008883333333
848472495,0.68,STABLE_NEUTRAL,0.44948832426817037,0.0,0.3607736665896877,0.0,0.0,0.44948832426817037,0.0803246342994708,6.090507533333334
869023836,0.68,STABLE_NEUTRAL,0.3607736665896877,0.0,0.3607736665896877,0.0,0.0,0.2785209115759612,0.23070183289982754,6.433029883333333
889076043,0.68,STABLE_NEUTRAL,0.39091159953073473,0.008401200198291693,0.39091159953073473,0.0,0.0,0.19040000000000004,0.182103421468035,6.767233333333333
909677398,0.68,STABLE_NEUTRAL,0.39091159953073473,0.04555303607743454,0.39091159953073473,0.0,0.0,0.08097233291236194,0.31883443448092474,7.11058925
930305527,0.68,STABLE_NEUTRAL,0.427454799834943,0.04297359759868241,0.427454799834943,0.0,0.0,0.19688346120448397,0.3134282716784822,7.4543914
950310151,0.68,STABLE_NEUTRAL,0.4546839177826201,0.026646670656620176,0.4546839177826201,0.0,0.0,0.3264,0.23722153869913876,7.7878018
970680359,0.68,STABLE_NEUTRAL,0.46789421036562556,0.09172323010905892,0.46789421036562556,0.0,0.4541949949422458,0.19040000000000004,0.20847950890231912,8.127305266666667
991082278,0.68,STABLE_NEUTRAL,0.6799999999999999,0.20349897935710573,0.45545207128341136,0.0,0.6799999999999999,0.19040000000000004,0.31356545999243324,8.46733725
1011253337,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,8.803521566666667
1031855619,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,9.146892933333334
1052169293,0.68,STABLE_NEUTRAL,0.5018815102208889,0.2897307646838121,0.3495453478442599,0.0,0.5018815102208889,0.3264,0.3147117960581116,9.485454166666667
1072627154,0.68,STABLE_NEUTRAL,0.3572794938671491,0.29814870025059304,0.3572794938671491,0.0,0.34909612256963557,0.3264,0.2028261111323298,9.826418516666667
1093116421,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,10.1679063
1113270157,0.68,STABLE_NEUTRAL,0.4174770160127425,0.19902858734540296,0.4174770160127425,0.0,0.0,0.19059787964716468,0.27198728404863254,10.5038019
1133759761,0.68,STABLE_NEUTRAL,0.4148220038463221,0.16584184778755176,0.4148220038463221,0.0,0.0,0.3264,0.27223562701027637,10.8452953
1153960447,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,11.1819734
1174016487,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,11.516240733333333
1194562518,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,11.858674583333332
1215341158,0.68,STABLE_NEUTRAL,0.3328632153511906,0.1768,0.31589366658968765,0.0,0.07918078293855786,0.3328632153511906,0.31718199733945424,12.20498525
1235726043,0.68,STABLE_NEUTRAL,0.3879886321656073,0.0,0.2402569500639635,0.0,0.10517518467916877,0.3879886321656073,0.306915793723592,12.544733333333333
1255888097,0.68,STABLE_NEUTRAL,0.4325562678498192,0.0,0.2704489500639635,0.0,0.13291954361390962,0.4325562678498192,0.33990199932354764,12.880767566666666
1276334445,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,13.221540033333333
1296896631,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,13.564243133333333
1317340205,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,13.904969366666666
1337440643,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,14.239976666666667
1358020490,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,14.582974116666668
1378040043,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,14.916633333333333
1398160043,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,15.251966666666666
1418221575,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,15.586325533333333
1438508176,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,15.92443555
1458626045,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,16.259733366666666
1479354730,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,16.60521145
1499799823,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,16.945963
1520028205,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,17.2831027
1540156208,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,17.618569416666666
1560634443,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,17.959873333333334
1580963821,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,18.2986963
1601206157,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,18.636068566666665
1622076645,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,18.983910033333334
1642260108,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,19.320301083333334
1662765599,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,19.662059266666667
1683414377,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,20.006205566666665
1702694043,0.0,DATA_UNSTABLE,0.0,nan,nan,nan,nan,nan,nan,20.327533333333335
