seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
4012206,32098197829,860.725,860.725,1,0,1,accepted,,69.70867582561213,1.0,0,32098196723,1.106,1.0,7.0,0,1,fixed_lag_waveform,1.0,784.0,32098196723,0,0,73
4012312,32099047158,849.329,849.329,1,0,1,accepted,,70.17322259998807,1.0,0,32099044723,2.435,1.0,7.0,0,1,fixed_lag_waveform,1.0,784.0,32099044723,0,0,73
4012412,32099849702,802.544,802.544,1,0,1,accepted,,70.6440025007977,1.0,0,32099844726,4.976,1.0,7.0,0,1,fixed_lag_waveform,1.0,776.0,32099844726,0,0,73
4012507,32100607268,757.566,757.566,1,0,1,accepted,,72.64480986129078,1.0,0,32100604723,2.545,1.0,7.0,0,1,fixed_lag_waveform,1.0,799.4652800000001,32100604723,0,0,73
4012604,32101388359,781.091,781.091,1,0,1,accepted,,74.76225602583784,1.0,0,32101388723,-0.364,1.0,7.0,0,1,fixed_lag_waveform,1.0,791.9796800000001,32101388723,0,0,73
4012702,32102165879,777.52,777.52,1,0,1,accepted,,75.77503654566867,1.0,0,32102165879,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,779.05408,0,1,0,1
4012799,32102941072,775.193,775.193,1,0,1,accepted,,76.81563351773353,1.0,1,32102941072,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,775.6216,0,1,0,17
4012891,32103684123,743.051,743.051,1,0,1,accepted,,76.99162908512773,1.0,1,32103684123,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,772.18912,0,1,0,17
4012983,32104418056,733.933,733.933,1,0,1,accepted,,77.16843296635456,1.0,0,32104412726,5.33,1.0,7.0,0,1,fixed_lag_waveform,1.0,766.17776,32104412726,0,0,169
4013076,32105161635,743.579,743.579,1,0,1,accepted,,77.40007972208211,1.0,0,32105164726,-3.091,1.0,7.0,0,1,fixed_lag_waveform,1.0,765.6064000000001,32105164726,0,0,169
