seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
4012098,32097332724,32097337104,0.0,75.75757575757575,1.0,4.38,1.0,7.0,0,1,fixed_lag_waveform,1.0,792.0,32097332724,0,0,73
4012206,32098196723,32098197829,860.725,69.70867582561213,1.0,1.106,1.0,7.0,0,1,fixed_lag_waveform,1.0,784.0,32098196723,0,0,73
4012312,32099044723,32099047158,849.329,70.17322259998807,1.0,2.435,1.0,7.0,0,1,fixed_lag_waveform,1.0,784.0,32099044723,0,0,73
4012412,32099844726,32099849702,802.544,70.6440025007977,1.0,4.976,1.0,7.0,0,1,fixed_lag_waveform,1.0,776.0,32099844726,0,0,73
4012507,32100604723,32100607268,757.566,72.64480986129078,1.0,2.545,1.0,7.0,0,1,fixed_lag_waveform,1.0,799.4652800000001,32100604723,0,0,73
4012604,32101388723,32101388359,781.091,74.76225602583784,1.0,-0.364,1.0,7.0,0,1,fixed_lag_waveform,1.0,791.9796800000001,32101388723,0,0,73
4012702,0,32102165879,777.52,75.77503654566867,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,779.05408,0,1,0,1
4012799,0,32102941072,775.193,76.81563351773353,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,775.6216,0,1,0,17
4012891,0,32103684123,743.051,76.99162908512773,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,772.18912,0,1,0,17
4012983,32104412726,32104418056,733.933,77.16843296635456,1.0,5.33,1.0,7.0,0,1,fixed_lag_waveform,1.0,766.17776,32104412726,0,0,169
4013076,32105164726,32105161635,743.579,77.40007972208211,1.0,-3.091,1.0,7.0,0,1,fixed_lag_waveform,1.0,765.6064000000001,32105164726,0,0,169
4013169,32105900723,32105900816,739.181,79.20102010913901,1.0,0.093,1.0,7.0,0,1,fixed_lag_waveform,1.0,759.42176,32105900723,0,0,169
4013259,32106628723,32106627853,727.037,80.69082101565537,1.0,-0.87,1.0,7.0,0,1,fixed_lag_waveform,1.0,753.78112,32106628723,0,0,73
4013353,32107380727,32107378894,751.041,80.69082101565537,1.0,-1.833,1.0,7.0,0,1,fixed_lag_waveform,1.0,749.30528,32107380727,0,0,73
4013447,32108132723,32108132723,753.829,80.69082101565537,1.0,0.0,1.0,7.0,0,1,fixed_lag_waveform,1.0,749.30528,32108132723,0,0,73
4013541,32108884723,32108883617,750.894,80.69082101565537,1.0,-1.106,1.0,7.0,0,1,fixed_lag_waveform,1.0,743.86528,32108884723,0,0,73
4013633,32109612725,32109614986,731.369,80.74815860553313,1.0,2.261,1.0,7.0,0,1,fixed_lag_waveform,1.0,743.86528,32109612725,0,0,73
4013724,0,32110342442,727.456,81.17091754252341,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,738.2563200000001,0,1,0,1
4013814,0,32111067212,724.77,81.17091754252341,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,737.01792,0,1,0,17
