t_us,nn_ms,corrected,metric_eligible,source
32098197829,860.725,0,1,raw
32099047158,849.329,0,1,raw
32099849702,802.544,0,1,raw
32100607268,757.566,0,1,raw
32101388359,781.091,0,1,raw
32102165879,777.52,0,1,raw
32102941072,775.193,0,1,raw
32103684123,743.051,0,1,raw
32104418056,733.933,0,1,raw
32105161635,743.579,0,1,raw
32105900816,739.181,0,1,raw
32106627853,727.037,0,1,raw
32107378894,751.041,0,1,raw
32108132723,753.829,0,1,raw
32108883617,750.894,0,1,raw
32109614986,731.369,0,1,raw
32110342442,727.456,0,1,raw
32111067212,724.77,0,1,raw
32111767361,700.149,0,1,raw
32112496252,728.891,0,1,raw
32113217065,720.813,0,1,raw
32113916468,699.403,0,1,raw
32114615582,699.114,0,1,raw
32115316027,700.445,0,1,raw
32116038559,722.532,0,1,raw
32116764806,726.247,0,1,raw
32117472560,707.754,0,1,raw
32118169404,696.844,0,1,raw
32118896108,726.704,0,1,raw
32119665390,769.282,0,1,raw
32120441868,776.478,0,1,raw
32121180553,738.685,0,1,raw
32121948375,767.822,0,1,raw
32122677087,728.712,0,1,raw
32123431191,754.104,0,1,raw
32124196362,765.171,0,1,raw
32124949406,753.044,0,1,raw
32125663421,714.015,0,1,raw
32126418288,754.867,0,1,raw
32127179331,761.043,0,1,raw
32127966767,787.436,0,1,raw
32128757488,790.721,0,1,raw
32129610583,853.095,0,1,raw
32130521486,910.903,0,1,raw
32131451845,930.359,0,1,raw
32132335881,884.036,0,1,raw
32133157912,822.031,0,1,raw
32133997777,839.865,0,1,raw
32134824726,826.949,0,1,raw
32135647290,822.564,0,1,raw
32136491671,844.381,0,1,raw
32137359039,867.368,0,1,raw
32138223288,864.249,0,1,raw
32139081409,858.121,0,1,raw
32139889182,807.773,0,1,raw
32140717169,827.987,0,1,raw
32141567039,849.87,0,1,raw
32142455671,888.632,0,1,raw
32143354097,898.426,0,1,raw
32144263782,909.685,0,1,raw
32145119513,855.731,0,1,raw
32145966301,846.788,0,1,raw
32146797834,831.533,0,1,raw
32147609640,811.806,0,1,raw
32148389526,779.886,0,1,raw
32149201170,811.644,0,1,raw
32150018409,817.239,0,1,raw
32150851318,832.909,0,1,raw
32151658279,806.961,0,1,raw
32152465615,807.336,0,1,raw
32153297614,831.999,0,1,raw
32154139966,842.352,0,1,raw
32154964252,824.286,0,1,raw
32155777834,813.582,0,1,raw
32156576056,798.222,0,1,raw
32157359393,783.337,0,1,raw
32158116488,757.095,0,1,raw
32158859168,742.68,0,1,raw
32159601413,742.245,0,1,raw
32160359429,758.016,0,1,raw
32161096968,737.539,0,1,raw
32161856518,759.55,0,1,raw
32162631834,775.316,0,1,raw
32163427834,796.0,0,1,raw
32164187750,759.916,0,1,raw
32164944108,756.358,0,1,raw
32165722555,778.447,0,1,raw
32166519039,796.484,0,1,raw
32167299009,779.97,0,1,raw
32168078777,779.768,0,1,raw
32168873664,794.887,0,1,raw
32169668723,795.059,0,1,raw
32170440962,772.239,0,1,raw
32171212609,771.647,0,1,raw
32171975039,762.43,0,1,raw
32172717091,742.052,0,1,raw
32173448077,730.986,0,1,raw
32174190845,742.768,0,1,raw
32174932728,741.883,0,1,raw
32175689900,757.172,0,1,raw
32176462437,772.537,0,1,raw
32177256280,793.843,0,1,raw
32178082136,825.856,0,1,raw
32178958128,875.992,0,1,raw
32179812381,854.253,0,1,raw
32180688726,876.345,0,1,raw
32181597980,909.254,0,1,raw
32182464958,866.978,0,1,raw
32183288037,823.079,0,1,raw
32184111811,823.774,0,1,raw
32184923149,811.338,0,1,raw
32185712238,789.089,0,1,raw
32186508837,796.599,0,1,raw
32187341614,832.777,0,1,raw
32188210323,868.709,0,1,raw
32189046474,836.151,0,1,raw
32189834223,787.749,0,1,raw
32190613168,778.945,0,1,raw
32191383996,770.828,0,1,raw
32192125980,741.984,0,1,raw
32192888724,762.744,0,1,raw
32193657938,769.214,0,1,raw
32194435634,777.696,0,1,raw
32195201473,765.839,0,1,raw
32195983859,782.386,0,1,raw
32196784494,800.635,0,1,raw
32197568268,783.774,0,1,raw
32198373912,805.644,0,1,raw
32199185637,811.725,0,1,raw
32199973294,787.657,0,1,raw
32200734784,761.49,0,1,raw
32201498605,763.821,0,1,raw
32202263549,764.944,0,1,raw
32203034371,770.822,0,1,raw
32203794473,760.102,0,1,raw
32204562780,768.307,0,1,raw
32205338373,775.593,0,1,raw
32206109087,770.714,0,1,raw
32206893429,784.342,0,1,raw
32207675694,782.265,0,1,raw
32208456725,781.031,0,1,raw
32209211547,754.822,0,1,raw
32209960723,749.176,0,1,raw
32210713693,752.97,0,1,raw
32211483836,770.143,0,1,raw
32212292252,808.416,0,1,raw
32213140837,848.585,0,1,raw
32213944255,803.418,0,1,raw
32214737693,793.438,0,1,raw
32215540840,803.147,0,1,raw
32216349523,808.683,0,1,raw
32217124838,775.315,0,1,raw
32217903209,778.371,0,1,raw
32218700252,797.043,0,1,raw
32219482666,782.414,0,1,raw
32220257616,774.95,0,1,raw
32221048074,790.458,0,1,raw
32221854777,806.703,0,1,raw
32222649450,794.673,0,1,raw
32223453480,804.03,0,1,raw
32224286724,833.244,0,1,raw
32225083923,797.199,0,1,raw
32225896723,812.8,0,1,raw
32226707551,810.828,0,1,raw
32227497196,789.645,0,1,raw
32228261973,764.777,0,1,raw
32229050135,788.162,0,1,raw
32229849450,799.315,0,1,raw
32230637973,788.523,0,1,raw
32231440724,802.751,0,1,raw
32232256958,816.234,0,1,raw
32233054945,797.987,0,1,raw
32233824481,769.536,0,1,raw
32234565332,740.851,0,1,raw
32235276359,711.027,0,1,raw
32235966723,690.364,0,1,raw
32236628945,662.222,0,1,raw
32237303835,674.89,0,1,raw
32237957390,653.555,0,1,raw
32238617835,660.445,0,1,raw
32239285852,668.017,0,1,raw
32239957240,671.388,0,1,raw
32240669123,711.883,0,1,raw
32241439268,770.145,0,1,raw
32242202364,763.096,0,1,raw
32243020323,817.959,0,1,raw
32243884430,864.107,0,1,raw
32244730945,846.515,0,1,raw
32245511641,780.696,0,1,raw
32246275837,764.196,0,1,raw
32247037612,761.775,0,1,raw
32247792939,755.327,0,1,raw
32248547966,755.027,0,1,raw
32249302469,754.503,0,1,raw
32250075670,773.201,0,1,raw
32250876214,800.544,0,1,raw
