seq,t_us,rr_ms,hr_bpm,score,flags
4012097,32097332724,848.0,69.4,0.874,73
4012205,32098196723,863.0,69.4,0.884,73
4012311,32099044723,848.0,69.4,0.882,73
4012411,32099844726,800.0,69.4,0.862,73
4012506,32100604723,759.0,69.4,0.833,73
4012604,32101388723,784.0,70.8,0.832,73
4012748,32102540723,1152.0,70.8,0.455,185
4012844,32103308725,768.0,70.8,0.463,185
4012982,32104412726,1104.0,70.8,0.801,169
4013076,32105164726,752.0,70.8,0.816,169
4013168,32105900723,735.0,70.8,0.845,169
4013259,32106628723,728.0,70.8,0.868,73
4013353,32107380727,752.0,70.8,0.865,73
4013447,32108132723,751.0,75.0,0.84,73
4013541,32108884723,752.0,76.5,0.819,73
4013632,32109612725,728.0,78.9,0.804,73
4013768,32110700723,1087.0,78.9,0.459,185
4013861,32111444723,744.0,78.9,0.465,185
4013946,32112124724,680.0,78.9,0.474,185
4014082,32113212723,1087.0,78.9,0.776,169
4014119,32113508724,296.0,78.9,0.509,173
4014257,32114612725,1104.0,78.9,0.799,169
4014345,32115316723,703.0,79.8,0.814,73
4014435,32116036726,720.0,79.8,0.872,73
4014526,32116764724,727.0,79.8,0.872,73
4014614,32117468723,703.0,82.4,0.857,73
4014701,32118164723,696.0,82.4,0.853,73
4014792,32118892723,728.0,82.4,0.854,73
4014888,32119660724,768.0,82.4,0.866,73
4014986,32120444725,784.0,82.4,0.849,73
4015078,32121180727,736.0,82.4,0.845,73
4015174,32121948723,767.0,82.4,0.851,73
4015265,32122676723,728.0,82.4,0.843,73
4015359,32123428723,752.0,81.5,0.865,73
4015455,32124196726,768.0,79.8,0.851,73
4015549,32124948723,751.0,79.8,0.854,73
4015638,32125660723,712.0,79.8,0.863,73
4015733,32126420723,760.0,79.8,0.872,73
4015828,32127180726,760.0,79.8,0.869,73
4015926,32127964723,783.0,78.9,0.865,73
4016025,32128756726,792.0,78.9,0.851,73
4016132,32129612723,855.0,78.9,0.832,73
4016246,32130524724,912.0,78.1,0.795,73
4016303,32130980727,456.0,78.1,0.473,185
4016399,32131748726,767.0,78.1,0.517,169
4016510,32132636723,887.0,78.1,0.508,169
4016633,32133620725,984.0,78.1,0.435,185
4016680,32133996724,375.0,78.1,0.835,169
4016783,32134820724,824.0,78.1,0.829,169
4016886,32135644726,824.0,76.5,0.844,73
4016992,32136492724,847.0,75.8,0.865,73
4017100,32137356723,863.0,70.8,0.857,73
4017208,32138220724,864.0,70.3,0.856,73
4017315,32139076724,856.0,70.1,0.862,73
4017416,32139884723,807.0,70.1,0.862,73
4017520,32140716725,832.0,70.1,0.874,73
4017626,32141564723,847.0,70.3,0.876,73
4017737,32142452724,888.0,70.3,0.882,73
4017850,32143356726,904.0,70.1,0.864,73
4017963,32144260723,903.0,69.4,0.853,73
4018070,32145116725,856.0,70.1,0.863,73
4018176,32145964725,848.0,70.1,0.885,73
4018280,32146796723,831.0,70.8,0.871,73
4018382,32147612726,816.0,70.8,0.861,73
4018479,32148388726,776.0,70.8,0.836,73
4018581,32149204726,816.0,70.8,0.868,73
4018683,32150020725,815.0,72.1,0.865,73
4018787,32150852723,831.0,72.1,0.851,73
4018888,32151660723,808.0,73.5,0.83,73
4018988,32152460727,800.0,73.5,0.856,73
4019092,32153292722,831.0,73.5,0.868,73
4019198,32154140723,848.0,73.5,0.863,73
4019301,32154964723,824.0,73.5,0.842,73
4019403,32155780723,816.0,73.5,0.861,73
4019502,32156572723,792.0,73.5,0.858,73
4019600,32157356726,784.0,73.5,0.855,73
4019695,32158116723,759.0,74.3,0.843,73
4019788,32158860724,744.0,75.0,0.841,73
4019880,32159596724,736.0,75.8,0.835,73
4019975,32160356726,760.0,76.5,0.824,73
4020119,32161508723,1151.0,76.5,0.444,185
4020211,32162244723,736.0,76.5,0.463,185
4020261,32162644724,400.0,76.5,0.54,185
4020359,32163428723,783.0,76.5,0.551,185
4020548,32164940723,1512.0,76.5,0.324,185
4020691,32166084726,1144.0,76.5,0.478,185
4020800,32166956727,872.0,76.5,0.415,185
4020897,32167732726,775.0,76.5,0.418,185
4020992,32168492723,759.0,76.5,0.436,185
4021039,32168868726,376.0,76.5,0.834,169
4021139,32169668723,799.0,77.3,0.831,73
4021235,32170436723,768.0,78.1,0.843,73
4021332,32171212723,776.0,78.1,0.856,73
4021427,32171972723,760.0,78.9,0.876,73
4021520,32172716727,744.0,78.9,0.851,73
4021611,32173444726,727.0,78.9,0.858,73
4021704,32174188727,744.0,78.9,0.863,73
4021797,32174932728,744.0,78.9,0.866,73
4021891,32175684723,751.0,79.8,0.869,73
4021988,32176460723,776.0,79.8,0.863,73
4022087,32177252724,792.0,79.8,0.874,73
4022190,32178076726,824.0,79.8,0.858,73
4022300,32178956723,879.0,79.8,0.821,73
4022407,32179812724,856.0,77.3,0.797,73
4022516,32180684726,872.0,77.3,0.802,169
4022569,32181108728,424.0,77.3,0.478,185
4022681,32182004723,895.0,77.3,0.476,185
4022794,32182908723,904.0,77.3,0.433,185
4022841,32183284723,376.0,77.3,0.826,169
4022944,32184108725,824.0,77.3,0.836,169
4023046,32184924725,816.0,75.8,0.824,73
4023144,32185708723,783.0,75.8,0.864,73
4023244,32186508723,800.0,75.0,0.875,73
4023348,32187340725,832.0,72.8,0.879,73
4023456,32188204726,864.0,72.1,0.869,73
4023561,32189044724,839.0,71.4,0.852,73
4023660,32189836723,791.0,71.4,0.847,73
4023757,32190612724,776.0,72.1,0.863,73
4023853,32191380723,767.0,75.0,0.857,73
4023946,32192124723,744.0,75.8,0.832,73
4024041,32192884724,760.0,75.8,0.846,73
4024137,32193652723,767.0,77.3,0.846,73
4024235,32194436725,784.0,77.3,0.831,73
4024330,32195196723,759.0,78.1,0.833,73
4024428,32195980724,784.0,78.1,0.852,73
4024528,32196780723,799.0,78.1,0.855,73
4024626,32197564725,784.0,78.1,0.846,73
4024727,32198372723,807.0,76.5,0.871,73
4024829,32199188723,816.0,76.5,0.862,73
4024927,32199972723,784.0,76.5,0.85,73
4025022,32200732723,760.0,76.5,0.854,73
4025117,32201492725,760.0,76.5,0.873,73
4025213,32202260725,768.0,76.5,0.87,73
4025310,32203036724,775.0,76.5,0.859,73
4025405,32203796723,759.0,77.3,0.856,73
4025501,32204564723,768.0,78.1,0.867,73
4025598,32205340726,776.0,78.1,0.863,73
4025694,32206108723,767.0,78.1,0.856,73
4025792,32206892723,784.0,78.1,0.853,73
4025890,32207676723,784.0,78.1,0.861,73
4025987,32208452725,776.0,77.3,0.863,73
4026082,32209212723,759.0,77.3,0.854,73
4026175,32209956723,744.0,78.1,0.864,73
