t_us,sample_drop_count,beat_drop_count,metric_drop_count,sample_queue_depth,sample_queue_high_water
32097712245,0,0,0,0,3
32102712245,0,0,0,0,3
32107713244,0,0,0,0,3
32112713244,0,0,0,0,3
32117713244,0,0,0,0,3
32122713247,0,0,0,0,3
32127713247,0,0,0,0,3
32132713247,0,0,0,0,3
32137713247,0,0,0,0,3
32142714245,0,0,0,0,3
32147714248,0,0,0,0,3
32152715245,0,0,0,0,3
32157715248,0,0,0,0,3
32162716244,0,0,0,0,3
32167716244,0,0,0,0,3
32172716244,0,0,0,0,3
32177716244,0,0,0,0,3
32182716245,0,0,0,0,3
32187716248,0,0,0,0,3
32192717240,0,0,0,0,3
32197717240,0,0,0,0,3
32202717240,0,0,0,0,3
32207717240,0,0,0,0,3
32212717240,0,0,0,0,3
32217717240,0,0,0,0,3
32222717240,0,0,0,0,3
32227717240,0,0,0,0,3
32232717240,0,0,0,0,3
32237717240,0,0,0,0,3
32242717240,0,0,0,0,3
32247717240,0,0,0,0,3
32252717240,0,0,0,0,3
32257717240,0,0,0,0,3
32262717240,0,0,0,0,3
32267718672,0,0,0,0,3
32272718672,0,0,0,0,3
32277718681,0,0,0,0,3
32282718685,0,0,0,0,3
32287718687,0,0,0,0,3
32292719247,0,0,0,0,3
32297719247,0,0,0,0,3
32302720247,0,0,0,0,3
32307720247,0,0,0,0,3
32312721244,0,0,0,0,3
32317721244,0,0,0,0,3
32322721244,0,0,0,0,3
32327721247,0,0,0,0,3
32332721247,0,0,0,0,3
32337722244,0,0,0,0,3
32342722244,0,0,0,0,3
32347722247,0,0,0,0,3
32352723244,0,0,0,0,3
32357723249,0,0,0,0,3
32362724244,0,0,0,0,3
32367724247,0,0,0,0,3
32372725240,0,0,0,0,3
32377725240,0,0,0,0,3
32382725240,0,0,0,0,3
32387725240,0,0,0,0,3
32392725240,0,0,0,0,3
32397725240,0,0,0,0,3
32402725240,0,0,0,0,3
32407725240,0,0,0,0,3
32412725240,0,0,0,0,3
32417725240,0,0,0,0,3
32422725240,0,0,0,0,3
32427725240,0,0,0,0,3
32432725240,0,0,0,0,3
32437725240,0,0,0,0,3
32442725240,0,0,0,0,3
32447725240,0,0,0,0,3
32452725240,0,0,0,0,3
32457726677,0,0,0,0,3
32462726683,0,0,0,0,3
32467726686,0,0,0,0,3
32472727249,0,0,0,0,3
32477727249,0,0,0,0,3
32482728245,0,0,0,0,3
32487728245,0,0,0,0,3
32492728246,0,0,0,0,3
32497728249,0,0,0,0,3
32502729247,0,0,0,0,3
32507730244,0,0,0,0,3
32512730245,0,0,0,0,3
32517730247,0,0,0,0,3
32522730247,0,0,0,0,3
32527731246,0,0,0,0,3
32532732244,0,0,0,0,3
32537732247,0,0,0,0,3
32542733240,0,0,0,0,3
32547733240,0,0,0,0,3
32552733240,0,0,0,0,3
32557733240,0,0,0,0,3
32562733240,0,0,0,0,3
32567733240,0,0,0,0,3
32572733240,0,0,0,0,3
32577733240,0,0,0,0,3
32582733240,0,0,0,0,3
32587733240,0,0,0,0,3
32592733240,0,0,0,0,3
32597733240,0,0,0,0,3
32602733240,0,0,0,0,3
32607733240,0,0,0,0,3
32612734664,0,0,0,0,3
32617734671,0,0,0,0,3
32622734677,0,0,0,0,3
32627734686,0,0,0,0,3
32632735244,0,0,0,0,3
32637735246,0,0,0,0,3
32642735246,0,0,0,0,3
32647735247,0,0,0,0,3
32652735247,0,0,0,0,3
32657736246,0,0,0,0,3
32662736247,0,0,0,0,3
32667737244,0,0,0,0,3
32672737244,0,0,0,0,3
32677737247,0,0,0,0,3
32682738244,0,0,0,0,3
32687738244,0,0,0,0,3
32692738246,0,0,0,0,3
32697739244,0,0,0,0,3
32702739244,0,0,0,0,3
32707739244,0,0,0,0,3
32712739246,0,0,0,0,3
32717740244,0,0,0,0,3
32722740244,0,0,0,0,3
32727740244,0,0,0,0,3
32732740244,0,0,0,0,3
32737740248,0,0,0,0,3
32742741240,0,0,0,0,3
32747741240,0,0,0,0,3
32752741240,0,0,0,0,3
32757741240,0,0,0,0,3
32762741240,0,0,0,0,3
32767741240,0,0,0,0,3
32772741240,0,0,0,0,3
32777741240,0,0,0,0,3
32782741240,0,0,0,0,3
32787741240,0,0,0,0,3
32792741240,0,0,0,0,3
32797741240,0,0,0,0,3
32802741240,0,0,0,0,3
32807742673,0,0,0,0,3
32812742679,0,0,0,0,3
32817742683,0,0,0,0,3
32822743249,0,0,0,0,3
32827744247,0,0,0,0,3
32832745247,0,0,0,0,3
32837745247,0,0,0,0,3
32842746247,0,0,0,0,3
32847747245,0,0,0,0,3
32852748244,0,0,0,0,3
