t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
32105692726,127.48,60,0.0,1
32125700723,126.19,60,0.0,1
32145700723,124.74,60,0.0,1
32165700723,30.05,60,0.0,1
32185700725,29.96,60,0.0,1
32205700727,23.12,60,0.0,1
32225700728,22.96,60,0.0,1
32245708723,24.57,60,0.0,1
32265708723,25.63,60,0.0,1
32285708723,26.17,60,0.0,1
32305708727,23.44,60,0.0,1
32325716723,24.03,60,0.0,1
32345716723,21.83,60,0.0,1
32365716725,23.44,60,0.0,1
32385724723,23.44,60,0.0,1
32405724723,23.28,60,0.0,1
32425724724,21.27,60,0.0,1
32445724725,20.16,60,0.0,1
32465732723,26.04,60,0.0,1
32485732723,26.87,60,0.0,1
32505732725,26.18,60,0.0,1
32525732727,24.04,60,0.0,1
32545740724,24.44,60,0.0,1
32565748723,24.02,60,0.0,1
32585748724,25.51,60,0.0,1
32605756726,26.32,60,0.0,1
32625756727,26.32,60,0.0,1
32645764725,27.3,60,0.0,1
32665772724,31.21,60,0.0,1
32685780723,33.08,60,0.0,1
32705780727,38.62,60,0.0,1
32725788723,40.96,60,0.0,1
32745788723,39.97,60,0.0,1
32765788727,40.86,60,0.0,1
32785796723,35.67,60,0.0,1
32805796724,34.69,60,0.0,1
32825804723,27.96,60,0.0,1
32845804723,29.05,60,0.0,1
32865804724,28.57,60,0.0,1
32885804724,26.43,60,0.0,1
32905812724,26.43,60,0.0,1
32925812725,26.43,60,0.0,1
32945820726,26.43,60,0.0,1
32965820727,26.43,60,0.0,1
32985828723,26.43,60,0.0,1
33005828723,26.43,60,0.0,1
33025828725,27.07,60,0.0,1
33045828726,27.07,60,0.0,1
33065836723,27.07,60,0.0,1
33085836726,27.07,60,0.0,1
33105844723,27.07,60,0.0,1
33125844726,27.07,60,0.0,1
33145852723,27.07,60,0.0,1
33165852723,27.07,60,0.0,1
33185852723,27.07,60,0.0,1
33205852725,27.07,60,0.0,1
33225860723,27.07,60,0.0,1
33245860723,27.07,60,0.0,1
33265860723,27.07,60,0.0,1
33285860724,27.07,60,0.0,1
33305860726,27.07,60,0.0,1
33325868723,27.07,60,0.0,1
33345868723,27.07,60,0.0,1
33365868723,31.96,60,0.0,1
