seq,t_us,raw,avg,filtered,candidate,detector_score,expected_rr_ms,hr_bpm,flags
4133453,33068180723,0.0,0.0,-207.0,0,0.484,776.0,75.8,19
4133454,33068188723,0.0,0.0,-206.0,0,0.478,776.0,75.8,19
4133455,33068196723,0.0,0.0,-205.0,0,0.476,776.0,75.8,19
4133456,33068204724,0.0,0.0,-204.0,0,0.475,776.0,75.8,19
4133457,33068212724,0.0,0.0,-202.0,0,0.478,776.0,75.8,19
4133458,33068220723,0.0,0.0,-201.0,0,0.471,776.0,75.8,19
4133459,33068228723,4.0,1.0,-199.0,0,0.475,776.0,75.8,17
4133460,33068236726,7.0,2.0,-197.0,0,0.473,776.0,75.8,17
4133461,33068244725,11.0,5.0,-195.0,0,0.471,776.0,75.8,17
4133462,33068252726,13.0,7.0,-193.0,0,0.469,776.0,75.8,17
4133463,33068260724,19.0,10.0,-189.0,0,0.477,776.0,75.8,17
4133464,33068268723,22.0,13.0,-186.0,0,0.468,776.0,75.8,17
4133465,33068276723,29.0,17.0,-182.0,0,0.471,776.0,75.8,17
4133466,33068284724,32.0,20.0,-178.0,0,0.467,776.0,75.8,17
4133467,33068292723,37.0,24.0,-174.0,0,0.464,776.0,75.8,17
4133468,33068300724,46.0,30.0,-169.0,0,0.465,776.0,75.8,17
4133469,33068308723,54.0,36.0,-163.0,0,0.466,776.0,75.8,17
4133470,33068316723,60.0,41.0,-157.0,0,0.461,776.0,75.8,17
4133471,33068324723,66.0,47.0,-151.0,0,0.456,776.0,75.8,17
4133472,33068332724,73.0,54.0,-145.0,0,0.451,776.0,75.8,17
4133473,33068340723,82.0,60.0,-138.0,0,0.451,776.0,75.8,17
4133474,33068348726,81.0,65.0,-131.0,0,0.445,776.0,75.8,17
4133475,33068356723,89.0,71.0,-125.0,0,0.434,776.0,75.8,17
4133476,33068364723,96.0,77.0,-118.0,0,0.434,776.0,75.8,17
4133477,33068372723,104.0,84.0,-112.0,0,0.423,776.0,75.8,17
4133478,33068380726,112.0,91.0,-105.0,0,0.423,776.0,75.8,17
4133479,33068388726,110.0,95.0,-98.0,0,0.417,776.0,75.8,17
4133480,33068396726,120.0,101.0,-92.0,0,0.407,776.0,75.8,17
4133481,33068404723,122.0,106.0,-86.0,0,0.402,776.0,75.8,17
4133482,33068412726,126.0,111.0,-80.0,0,0.397,776.0,75.8,17
4133483,33068420728,127.0,115.0,-74.0,0,0.392,776.0,75.8,17
4133484,33068428723,127.0,118.0,-69.0,0,0.383,776.0,75.8,17
4133485,33068436725,140.0,123.0,-64.0,0,0.379,776.0,75.8,17
4133486,33068444723,148.0,129.0,-59.0,0,0.375,776.0,75.8,17
4133487,33068452724,160.0,137.0,-53.0,0,0.376,776.0,75.8,17
4133488,33068460724,174.0,146.0,-46.0,0,0.377,776.0,75.8,17
4133489,33068468727,198.0,158.0,-37.0,0,0.382,776.0,75.8,17
